sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
aalscayrfi,DFDC,0,SBI,visual,0.062334,probability,557.7,N/A,N/A,ok,
aalyqplqns,DFDC,0,SBI,visual,0.260559,probability,363.6,N/A,N/A,ok,
aarpyivfys,DFDC,0,SBI,visual,0.12551,probability,795.1,N/A,N/A,ok,
abajdarwnl,DFDC,0,SBI,visual,0.411067,probability,731.5,N/A,N/A,ok,
abwvsloero,DFDC,0,SBI,visual,0.015525,probability,484.3,N/A,N/A,ok,
abyulwmxen,DFDC,0,SBI,visual,0.072591,probability,709.4,N/A,N/A,ok,
acejoopbey,DFDC,0,SBI,visual,0.062196,probability,588.7,N/A,N/A,ok,
achpfflhju,DFDC,0,SBI,visual,0.305072,probability,156.0,N/A,N/A,ok,
acmwqyjvoz,DFDC,0,SBI,visual,0.029754,probability,592.9,N/A,N/A,ok,
adsjhmclqx,DFDC,0,SBI,visual,0.051409,probability,441.2,N/A,N/A,ok,
adykfzegpc,DFDC,0,SBI,visual,0.010132,probability,456.8,N/A,N/A,ok,
aeibsrjfdo,DFDC,0,SBI,visual,0.476271,probability,523.7,N/A,N/A,ok,
aejcxligwn,DFDC,0,SBI,visual,0.042415,probability,363.2,N/A,N/A,ok,
aekpwrkywd,DFDC,0,SBI,visual,0.683938,probability,470.7,N/A,N/A,ok,
aerypjwzad,DFDC,0,SBI,visual,0.269682,probability,420.1,N/A,N/A,ok,
aeskwxnrpa,DFDC,0,SBI,visual,0.572836,probability,242.3,N/A,N/A,ok,
afjjwsmzxv,DFDC,0,SBI,visual,0.045111,probability,340.3,N/A,N/A,ok,
agarzvbaqz,DFDC,0,SBI,visual,0.520149,probability,336.4,N/A,N/A,ok,
agdkvthrpq,DFDC,0,SBI,visual,0.201302,probability,378.6,N/A,N/A,ok,
agkvhqusqq,DFDC,0,SBI,visual,0.042397,probability,370.4,N/A,N/A,ok,
agryncucgi,DFDC,0,SBI,visual,0.011324,probability,316.4,N/A,N/A,ok,
ahalakrkhf,DFDC,0,SBI,visual,0.045845,probability,624.0,N/A,N/A,ok,
aheytcuhqb,DFDC,0,SBI,visual,0.116679,probability,815.5,N/A,N/A,ok,
ahmqtdzriq,DFDC,0,SBI,visual,0.500885,probability,681.7,N/A,N/A,ok,
ahslbdxbjz,DFDC,0,SBI,visual,0.016767,probability,567.9,N/A,N/A,ok,
ahunojlhec,DFDC,0,SBI,visual,0.014203,probability,650.5,N/A,N/A,ok,
ailljwjwvl,DFDC,0,SBI,visual,0.896737,probability,82.4,N/A,N/A,ok,
aimfweaqeq,DFDC,0,SBI,visual,0.008315,probability,209.0,N/A,N/A,ok,
airwxzbtgc,DFDC,0,SBI,visual,0.010613,probability,472.3,N/A,N/A,ok,
ajabvafiow,DFDC,0,SBI,visual,0.272846,probability,494.2,N/A,N/A,ok,
ajcostgfft,DFDC,0,SBI,visual,0.089396,probability,490.5,N/A,N/A,ok,
ajcyrjhppv,DFDC,0,SBI,visual,0.002096,probability,555.8,N/A,N/A,ok,
ajdxzmgtrg,DFDC,0,SBI,visual,0.277918,probability,527.3,N/A,N/A,ok,
akojtrykwg,DFDC,0,SBI,visual,0.455209,probability,390.0,N/A,N/A,ok,
aksxapgqri,DFDC,0,SBI,visual,0.071365,probability,369.1,N/A,N/A,ok,
alceitvqms,DFDC,0,SBI,visual,0.394369,probability,365.6,N/A,N/A,ok,
algsradbrc,DFDC,0,SBI,visual,0.027437,probability,327.5,N/A,N/A,ok,
aluddintgf,DFDC,0,SBI,visual,0.044188,probability,339.8,N/A,N/A,ok,
alxkmxynew,DFDC,0,SBI,visual,0.173943,probability,140.9,N/A,N/A,ok,
alzkwzxevr,DFDC,0,SBI,visual,0.082138,probability,675.5,N/A,N/A,ok,
alzpunwsla,DFDC,0,SBI,visual,0.073737,probability,515.6,N/A,N/A,ok,
ambzbzclrq,DFDC,0,SBI,visual,0.0407,probability,556.5,N/A,N/A,ok,
amcqszhjsq,DFDC,0,SBI,visual,0.257819,probability,448.0,N/A,N/A,ok,
amdxcpeuvi,DFDC,0,SBI,visual,0.219857,probability,446.7,N/A,N/A,ok,
amqnzhseqg,DFDC,0,SBI,visual,0.01786,probability,594.1,N/A,N/A,ok,
angbdylxus,DFDC,0,SBI,visual,0.021493,probability,119.7,N/A,N/A,ok,
anhpzbkbky,DFDC,0,SBI,visual,0.423496,probability,393.7,N/A,N/A,ok,
anjqzvkkzc,DFDC,0,SBI,visual,0.020334,probability,50.7,N/A,N/A,ok,
ankdyoquiu,DFDC,0,SBI,visual,0.098177,probability,63.2,N/A,N/A,ok,
annbfwzdkn,DFDC,0,SBI,visual,0.061624,probability,323.9,N/A,N/A,ok,
ansmokqvyf,DFDC,0,SBI,visual,0.144716,probability,407.2,N/A,N/A,ok,
aoooytoctg,DFDC,0,SBI,visual,0.048564,probability,186.3,N/A,N/A,ok,
apglzrxxto,DFDC,0,SBI,visual,0.932223,probability,390.7,N/A,N/A,ok,
apmxeenhpt,DFDC,0,SBI,visual,0.070923,probability,126.3,N/A,N/A,ok,
apniylcvur,DFDC,0,SBI,visual,0.044771,probability,327.2,N/A,N/A,ok,
apzaiuqphz,DFDC,0,SBI,visual,0.001203,probability,76.7,N/A,N/A,ok,
aqtauyhhoh,DFDC,0,SBI,visual,0.162776,probability,217.7,N/A,N/A,ok,
aqtrruhcat,DFDC,0,SBI,visual,0.041396,probability,330.3,N/A,N/A,ok,
arlolgssas,DFDC,0,SBI,visual,0.065686,probability,726.2,N/A,N/A,ok,
arvapvgzii,DFDC,0,SBI,visual,0.400105,probability,226.8,N/A,N/A,ok,
ascobsrydl,DFDC,0,SBI,visual,0.226805,probability,468.7,N/A,N/A,ok,
asoxlgqueu,DFDC,0,SBI,visual,0.011827,probability,470.8,N/A,N/A,ok,
aswrmkooxl,DFDC,0,SBI,visual,0.071712,probability,486.8,N/A,N/A,ok,
asygmewpwe,DFDC,0,SBI,visual,0.207097,probability,470.5,N/A,N/A,ok,
atavtujddj,DFDC,0,SBI,visual,0.001891,probability,394.8,N/A,N/A,ok,
aubfotksjv,DFDC,0,SBI,visual,0.079336,probability,352.8,N/A,N/A,ok,
aucftdmmze,DFDC,0,SBI,visual,0.084142,probability,160.7,N/A,N/A,ok,
aunuinfsap,DFDC,0,SBI,visual,0.515163,probability,40.0,N/A,N/A,ok,
auttliqxls,DFDC,0,SBI,visual,0.126122,probability,186.4,N/A,N/A,ok,
avfglbzzpu,DFDC,0,SBI,visual,0.002789,probability,334.2,N/A,N/A,ok,
avgbrvqybz,DFDC,0,SBI,visual,0.091018,probability,349.3,N/A,N/A,ok,
avlnzlacbm,DFDC,0,SBI,visual,0.084997,probability,414.2,N/A,N/A,ok,
avlsohbebl,DFDC,0,SBI,visual,0.293413,probability,312.6,N/A,N/A,ok,
avpceuqpuq,DFDC,0,SBI,visual,0.782312,probability,347.4,N/A,N/A,ok,
avqvjbickl,DFDC,0,SBI,visual,0.432254,probability,168.5,N/A,N/A,ok,
avtdrvnfyh,DFDC,0,SBI,visual,0.185702,probability,160.0,N/A,N/A,ok,
avtpmzitxr,DFDC,0,SBI,visual,0.043656,probability,196.4,N/A,N/A,ok,
awqbyzfohj,DFDC,0,SBI,visual,0.006467,probability,405.0,N/A,N/A,ok,
axhxbelqwr,DFDC,0,SBI,visual,0.267874,probability,140.6,N/A,N/A,ok,
axmdvjhcin,DFDC,0,SBI,visual,0.021206,probability,377.9,N/A,N/A,ok,
ayhhwrghfe,DFDC,0,SBI,visual,0.018214,probability,518.3,N/A,N/A,ok,
aylwesnztz,DFDC,0,SBI,visual,0.071035,probability,523.5,N/A,N/A,ok,
azdmkyyfgv,DFDC,0,SBI,visual,0.146305,probability,439.6,N/A,N/A,ok,
aziormhfvb,DFDC,0,SBI,visual,0.395913,probability,109.9,N/A,N/A,ok,
azkdermivp,DFDC,0,SBI,visual,0.337077,probability,269.3,N/A,N/A,ok,
baefqrgttz,DFDC,0,SBI,visual,0.0588,probability,387.6,N/A,N/A,ok,
bakrkkibfx,DFDC,0,SBI,visual,0.259344,probability,297.5,N/A,N/A,ok,
bauxtweokm,DFDC,0,SBI,visual,0.011948,probability,373.1,N/A,N/A,ok,
bbkwdpnfxx,DFDC,0,SBI,visual,0.026111,probability,466.7,N/A,N/A,ok,
bbnuxuehbc,DFDC,0,SBI,visual,0.04653,probability,380.1,N/A,N/A,ok,
bbqvdmkxoc,DFDC,0,SBI,visual,0.014849,probability,357.8,N/A,N/A,ok,
bclygfslat,DFDC,0,SBI,visual,0.008517,probability,344.2,N/A,N/A,ok,
bcppeksvoh,DFDC,0,SBI,visual,0.055961,probability,360.7,N/A,N/A,ok,
bcqfxynbkq,DFDC,0,SBI,visual,0.290025,probability,343.2,N/A,N/A,ok,
bcrbbfpdqu,DFDC,0,SBI,visual,0.220465,probability,32.2,N/A,N/A,ok,
bdlcufupou,DFDC,0,SBI,visual,0.091176,probability,279.2,N/A,N/A,ok,
bdnlpsvzlh,DFDC,0,SBI,visual,0.229561,probability,296.4,N/A,N/A,ok,
bdrusuytvj,DFDC,0,SBI,visual,0.023967,probability,373.4,N/A,N/A,ok,
bdxgegsjpi,DFDC,0,SBI,visual,0.011001,probability,374.6,N/A,N/A,ok,
bdywikyrnc,DFDC,0,SBI,visual,0.122932,probability,515.6,N/A,N/A,ok,
behmjnahbe,DFDC,0,SBI,visual,0.005402,probability,300.1,N/A,N/A,ok,
belyafpqap,DFDC,0,SBI,visual,0.344144,probability,483.9,N/A,N/A,ok,
beozwqdkms,DFDC,0,SBI,visual,0.081429,probability,455.0,N/A,N/A,ok,
bepzmgxsef,DFDC,0,SBI,visual,0.053255,probability,360.2,N/A,N/A,ok,
bezgpdxiqo,DFDC,0,SBI,visual,0.133081,probability,558.6,N/A,N/A,ok,
bftfkocdhh,DFDC,0,SBI,visual,0.16887,probability,410.2,N/A,N/A,ok,
bfvwpdcweq,DFDC,0,SBI,visual,0.032211,probability,229.2,N/A,N/A,ok,
bglhicdktn,DFDC,0,SBI,visual,0.172644,probability,385.2,N/A,N/A,ok,
bglinmcjcs,DFDC,0,SBI,visual,0.280448,probability,378.2,N/A,N/A,ok,
bgmpmgtxkt,DFDC,0,SBI,visual,0.032539,probability,344.0,N/A,N/A,ok,
bgsjwznbge,DFDC,0,SBI,visual,0.022152,probability,376.8,N/A,N/A,ok,
bgwytqcaox,DFDC,0,SBI,visual,0.039883,probability,345.4,N/A,N/A,ok,
bhdplxfbwn,DFDC,0,SBI,visual,0.307869,probability,404.3,N/A,N/A,ok,
bhhcmvjuks,DFDC,0,SBI,visual,0.086582,probability,532.0,N/A,N/A,ok,
bhtytlxyau,DFDC,0,SBI,visual,0.005535,probability,562.8,N/A,N/A,ok,
bhwfiogzmn,DFDC,0,SBI,visual,0.052234,probability,254.0,N/A,N/A,ok,
bifozouymd,DFDC,0,SBI,visual,0.553645,probability,46.0,N/A,N/A,ok,
biklirozwk,DFDC,0,SBI,visual,0.022752,probability,385.3,N/A,N/A,ok,
binpavhvht,DFDC,0,SBI,visual,0.39549,probability,439.3,N/A,N/A,ok,
bisuhlnkye,DFDC,0,SBI,visual,0.013306,probability,457.0,N/A,N/A,ok,
bkbcsaatyp,DFDC,0,SBI,visual,0.015946,probability,209.7,N/A,N/A,ok,
bksdiqafep,DFDC,0,SBI,visual,0.024285,probability,357.5,N/A,N/A,ok,
blcfheybjc,DFDC,0,SBI,visual,0.029986,probability,317.0,N/A,N/A,ok,
bljwnczerg,DFDC,0,SBI,visual,0.022239,probability,337.8,N/A,N/A,ok,
blwzpqnnzs,DFDC,0,SBI,visual,0.005748,probability,353.6,N/A,N/A,ok,
bmcqsokyye,DFDC,0,SBI,visual,0.05214,probability,323.7,N/A,N/A,ok,
bmtjzuzwdo,DFDC,0,SBI,visual,0.116568,probability,413.3,N/A,N/A,ok,
bmtxirquhg,DFDC,0,SBI,visual,0.06605,probability,387.0,N/A,N/A,ok,
bngetvfytn,DFDC,0,SBI,visual,0.005002,probability,233.7,N/A,N/A,ok,
bnlropggas,DFDC,0,SBI,visual,0.219202,probability,330.0,N/A,N/A,ok,
bnqqeykvbi,DFDC,0,SBI,visual,0.025371,probability,113.9,N/A,N/A,ok,
bnxbkzhxzk,DFDC,0,SBI,visual,0.038714,probability,151.0,N/A,N/A,ok,
boemzeavif,DFDC,0,SBI,visual,0.12994,probability,249.4,N/A,N/A,ok,
bofxltpmxn,DFDC,0,SBI,visual,0.006263,probability,517.1,N/A,N/A,ok,
bonizsgxpx,DFDC,0,SBI,visual,0.180457,probability,405.5,N/A,N/A,ok,
bpjbidjbag,DFDC,0,SBI,visual,0.016912,probability,366.2,N/A,N/A,ok,
bpmagazrlb,DFDC,0,SBI,visual,0.197261,probability,384.7,N/A,N/A,ok,
bpqawurfiz,DFDC,0,SBI,visual,0.482776,probability,429.8,N/A,N/A,ok,
bptiaycugg,DFDC,0,SBI,visual,0.018522,probability,414.6,N/A,N/A,ok,
bqygiiureu,DFDC,0,SBI,visual,0.124108,probability,465.7,N/A,N/A,ok,
bqyixvjrsq,DFDC,0,SBI,visual,0.030494,probability,310.5,N/A,N/A,ok,
brbfjluwvo,DFDC,0,SBI,visual,0.147503,probability,347.9,N/A,N/A,ok,
brhxmyecox,DFDC,0,SBI,visual,0.067684,probability,117.9,N/A,N/A,ok,
brwshvpbgz,DFDC,0,SBI,visual,0.003527,probability,331.3,N/A,N/A,ok,
brxvolpgxl,DFDC,0,SBI,visual,0.32399,probability,360.1,N/A,N/A,ok,
bsduhevcwg,DFDC,0,SBI,visual,0.055864,probability,125.2,N/A,N/A,ok,
bstcitubhv,DFDC,0,SBI,visual,0.010925,probability,401.0,N/A,N/A,ok,
bswwsjiexr,DFDC,0,SBI,visual,0.54738,probability,320.2,N/A,N/A,ok,
btdrbmbfjh,DFDC,0,SBI,visual,0.07082,probability,452.4,N/A,N/A,ok,
btfcvrvuze,DFDC,0,SBI,visual,0.140133,probability,481.6,N/A,N/A,ok,
btgcnyaqez,DFDC,0,SBI,visual,0.068738,probability,332.5,N/A,N/A,ok,
btrzintddm,DFDC,0,SBI,visual,0.254436,probability,419.9,N/A,N/A,ok,
bttohqfafv,DFDC,0,SBI,visual,0.188806,probability,345.0,N/A,N/A,ok,
btvikanfdf,DFDC,0,SBI,visual,0.028461,probability,389.9,N/A,N/A,ok,
bucrskscgj,DFDC,0,SBI,visual,0.047467,probability,497.5,N/A,N/A,ok,
bucuqcqztq,DFDC,0,SBI,visual,0.277005,probability,188.9,N/A,N/A,ok,
butpxyrveu,DFDC,0,SBI,visual,0.01401,probability,407.0,N/A,N/A,ok,
buwwmndbtu,DFDC,0,SBI,visual,0.007177,probability,326.7,N/A,N/A,ok,
bvcklbzpnh,DFDC,0,SBI,visual,0.850636,probability,410.2,N/A,N/A,ok,
bvewnkolss,DFDC,0,SBI,visual,0.153888,probability,323.0,N/A,N/A,ok,
bvoecyskgu,DFDC,0,SBI,visual,0.392419,probability,105.3,N/A,N/A,ok,
bvtykwecyj,DFDC,0,SBI,visual,0.034748,probability,397.0,N/A,N/A,ok,
bvzwxwexll,DFDC,0,SBI,visual,0.053031,probability,473.0,N/A,N/A,ok,
bweefahzei,DFDC,0,SBI,visual,0.044614,probability,373.3,N/A,N/A,ok,
bwoccqzwxf,DFDC,0,SBI,visual,0.404444,probability,451.2,N/A,N/A,ok,
bwqdkjggkw,DFDC,0,SBI,visual,0.06774,probability,75.2,N/A,N/A,ok,
bwudpcdqie,DFDC,0,SBI,visual,0.108844,probability,140.5,N/A,N/A,ok,
