sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
000,FF++,0,SBI,visual,0.098508,probability,1558.4,N/A,N/A,ok,
003,FF++,0,SBI,visual,0.011459,probability,1126.6,N/A,N/A,ok,
012,FF++,0,SBI,visual,0.03892,probability,1072.7,N/A,N/A,ok,
015,FF++,0,SBI,visual,0.027984,probability,1037.9,N/A,N/A,ok,
024,FF++,0,SBI,visual,0.50388,probability,1020.2,N/A,N/A,ok,
026,FF++,0,SBI,visual,0.029228,probability,1020.8,N/A,N/A,ok,
029,FF++,0,SBI,visual,0.433012,probability,1024.5,N/A,N/A,ok,
035,FF++,0,SBI,visual,0.015208,probability,1035.9,N/A,N/A,ok,
036,FF++,0,SBI,visual,0.070521,probability,1039.2,N/A,N/A,ok,
044,FF++,0,SBI,visual,0.003764,probability,1014.5,N/A,N/A,ok,
047,FF++,0,SBI,visual,0.41248,probability,1023.8,N/A,N/A,ok,
048,FF++,0,SBI,visual,0.001998,probability,1020.4,N/A,N/A,ok,
073,FF++,0,SBI,visual,0.066675,probability,1024.1,N/A,N/A,ok,
078,FF++,0,SBI,visual,0.004679,probability,1040.3,N/A,N/A,ok,
102,FF++,0,SBI,visual,0.017442,probability,1017.3,N/A,N/A,ok,
114,FF++,0,SBI,visual,0.010091,probability,1026.8,N/A,N/A,ok,
128,FF++,0,SBI,visual,0.07188,probability,1027.2,N/A,N/A,ok,
135,FF++,0,SBI,visual,0.150666,probability,1021.0,N/A,N/A,ok,
138,FF++,0,SBI,visual,0.208166,probability,1019.6,N/A,N/A,ok,
141,FF++,0,SBI,visual,0.254275,probability,1018.7,N/A,N/A,ok,
142,FF++,0,SBI,visual,0.037512,probability,1018.3,N/A,N/A,ok,
154,FF++,0,SBI,visual,0.233967,probability,1020.6,N/A,N/A,ok,
158,FF++,0,SBI,visual,0.099003,probability,1017.3,N/A,N/A,ok,
161,FF++,0,SBI,visual,0.239655,probability,1052.3,N/A,N/A,ok,
169,FF++,0,SBI,visual,0.031502,probability,1017.7,N/A,N/A,ok,
170,FF++,0,SBI,visual,0.135045,probability,1013.3,N/A,N/A,ok,
176,FF++,0,SBI,visual,0.087219,probability,1019.5,N/A,N/A,ok,
186,FF++,0,SBI,visual,0.180295,probability,1020.9,N/A,N/A,ok,
190,FF++,0,SBI,visual,0.1641,probability,1049.5,N/A,N/A,ok,
214,FF++,0,SBI,visual,0.166968,probability,1020.3,N/A,N/A,ok,
219,FF++,0,SBI,visual,0.066873,probability,1018.0,N/A,N/A,ok,
