sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
dfdc_test_000000,DFDC-DFDC_Fake,1,UCF,visual,0.5092,probability,3642.09,N/A,N/A,ok,
dfdc_test_000001,DFDC-DFDC_Fake,1,UCF,visual,0.5859,probability,168.03,N/A,N/A,ok,
dfdc_test_000002,DFDC-DFDC_Fake,1,UCF,visual,0.4619,probability,161.7,N/A,N/A,ok,
dfdc_test_000003,DFDC-DFDC_Fake,1,UCF,visual,0.9781,probability,170.0,N/A,N/A,ok,
dfdc_test_000004,DFDC-DFDC_Fake,1,UCF,visual,0.8857,probability,166.54,N/A,N/A,ok,
dfdc_test_000005,DFDC-DFDC_Fake,1,UCF,visual,0.2077,probability,171.88,N/A,N/A,ok,
dfdc_test_000006,DFDC-DFDC_Fake,1,UCF,visual,0.4544,probability,203.78,N/A,N/A,ok,
dfdc_test_000007,DFDC-DFDC_Fake,1,UCF,visual,0.6816,probability,195.53,N/A,N/A,ok,
dfdc_test_000008,DFDC-DFDC_Fake,1,UCF,visual,0.9205,probability,163.93,N/A,N/A,ok,
dfdc_test_000009,DFDC-DFDC_Fake,1,UCF,visual,0.5929,probability,175.61,N/A,N/A,ok,
dfdc_test_000010,DFDC-DFDC_Fake,1,UCF,visual,0.9683,probability,164.75,N/A,N/A,ok,
dfdc_test_000011,DFDC-DFDC_Fake,1,UCF,visual,0.9579,probability,187.13,N/A,N/A,ok,
dfdc_test_000012,DFDC-DFDC_Fake,1,UCF,visual,0.9936,probability,158.6,N/A,N/A,ok,
dfdc_test_000013,DFDC-DFDC_Fake,1,UCF,visual,0.7797,probability,149.43,N/A,N/A,ok,
dfdc_test_000014,DFDC-DFDC_Fake,1,UCF,visual,0.6626,probability,170.28,N/A,N/A,ok,
dfdc_test_000015,DFDC-DFDC_Fake,1,UCF,visual,0.8829,probability,169.31,N/A,N/A,ok,
dfdc_test_000016,DFDC-DFDC_Fake,1,UCF,visual,0.3004,probability,185.69,N/A,N/A,ok,
dfdc_test_000017,DFDC-DFDC_Fake,1,UCF,visual,0.3596,probability,160.16,N/A,N/A,ok,
dfdc_test_000018,DFDC-DFDC_Fake,1,UCF,visual,0.5592,probability,175.36,N/A,N/A,ok,
dfdc_test_000019,DFDC-DFDC_Fake,1,UCF,visual,0.9968,probability,210.51,N/A,N/A,ok,
dfdc_test_000020,DFDC-DFDC_Fake,1,UCF,visual,0.2102,probability,177.67,N/A,N/A,ok,
dfdc_test_000021,DFDC-DFDC_Fake,1,UCF,visual,0.9645,probability,199.32,N/A,N/A,ok,
dfdc_test_000022,DFDC-DFDC_Fake,1,UCF,visual,0.473,probability,192.35,N/A,N/A,ok,
dfdc_test_000023,DFDC-DFDC_Fake,1,UCF,visual,0.9685,probability,178.16,N/A,N/A,ok,
dfdc_test_000024,DFDC-DFDC_Fake,1,UCF,visual,0.3923,probability,183.23,N/A,N/A,ok,
dfdc_test_000025,DFDC-DFDC_Fake,1,UCF,visual,0.6886,probability,184.15,N/A,N/A,ok,
dfdc_test_000026,DFDC-DFDC_Fake,1,UCF,visual,0.3612,probability,180.97,N/A,N/A,ok,
dfdc_test_000027,DFDC-DFDC_Fake,1,UCF,visual,0.4889,probability,164.1,N/A,N/A,ok,
dfdc_test_000028,DFDC-DFDC_Fake,1,UCF,visual,0.9507,probability,183.88,N/A,N/A,ok,
dfdc_test_000029,DFDC-DFDC_Fake,1,UCF,visual,0.6941,probability,190.9,N/A,N/A,ok,
dfdc_test_000030,DFDC-DFDC_Fake,1,UCF,visual,0.6215,probability,187.88,N/A,N/A,ok,
dfdc_test_000031,DFDC-DFDC_Fake,1,UCF,visual,0.5539,probability,169.43,N/A,N/A,ok,
dfdc_test_000032,DFDC-DFDC_Fake,1,UCF,visual,0.9884,probability,175.98,N/A,N/A,ok,
dfdc_test_000033,DFDC-DFDC_Fake,1,UCF,visual,0.9686,probability,178.76,N/A,N/A,ok,
dfdc_test_000034,DFDC-DFDC_Fake,1,UCF,visual,0.1845,probability,161.91,N/A,N/A,ok,
dfdc_test_000035,DFDC-DFDC_Fake,1,UCF,visual,0.1334,probability,195.39,N/A,N/A,ok,
dfdc_test_000036,DFDC-DFDC_Fake,1,UCF,visual,0.4563,probability,212.71,N/A,N/A,ok,
dfdc_test_000037,DFDC-DFDC_Fake,1,UCF,visual,0.7528,probability,197.96,N/A,N/A,ok,
dfdc_test_000038,DFDC-DFDC_Fake,1,UCF,visual,0.8574,probability,188.8,N/A,N/A,ok,
dfdc_test_000039,DFDC-DFDC_Fake,1,UCF,visual,0.9531,probability,191.52,N/A,N/A,ok,
dfdc_test_000040,DFDC-DFDC_Fake,1,UCF,visual,0.8121,probability,188.66,N/A,N/A,ok,
dfdc_test_000041,DFDC-DFDC_Fake,1,UCF,visual,0.7164,probability,173.26,N/A,N/A,ok,
dfdc_test_000042,DFDC-DFDC_Fake,1,UCF,visual,0.024,probability,188.06,N/A,N/A,ok,
