sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
celeb_test_real_000,Celeb-DF-v2-Test-Real,0,UCF,visual,0.4047,probability,4464.86,N/A,N/A,ok,
celeb_test_real_001,Celeb-DF-v2-Test-Real,0,UCF,visual,0.4783,probability,109.33,N/A,N/A,ok,
celeb_test_real_002,Celeb-DF-v2-Test-Real,0,UCF,visual,0.2007,probability,103.81,N/A,N/A,ok,
celeb_test_real_003,Celeb-DF-v2-Test-Real,0,UCF,visual,0.5087,probability,96.72,N/A,N/A,ok,
celeb_test_real_004,Celeb-DF-v2-Test-Real,0,UCF,visual,0.2819,probability,106.23,N/A,N/A,ok,
celeb_test_real_005,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3845,probability,120.97,N/A,N/A,ok,
celeb_test_real_006,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3882,probability,119.02,N/A,N/A,ok,
celeb_test_real_007,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1457,probability,131.23,N/A,N/A,ok,
celeb_test_real_008,Celeb-DF-v2-Test-Real,0,UCF,visual,0.2955,probability,131.09,N/A,N/A,ok,
celeb_test_real_009,Celeb-DF-v2-Test-Real,0,UCF,visual,0.4044,probability,115.58,N/A,N/A,ok,
celeb_test_real_010,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0231,probability,107.73,N/A,N/A,ok,
celeb_test_real_011,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0498,probability,124.09,N/A,N/A,ok,
celeb_test_real_012,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1309,probability,98.42,N/A,N/A,ok,
celeb_test_real_013,Celeb-DF-v2-Test-Real,0,UCF,visual,0.6345,probability,108.58,N/A,N/A,ok,
celeb_test_real_014,Celeb-DF-v2-Test-Real,0,UCF,visual,0.6418,probability,101.72,N/A,N/A,ok,
celeb_test_real_015,Celeb-DF-v2-Test-Real,0,UCF,visual,0.2104,probability,110.45,N/A,N/A,ok,
celeb_test_real_016,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0903,probability,105.33,N/A,N/A,ok,
celeb_test_real_017,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1061,probability,121.14,N/A,N/A,ok,
celeb_test_real_018,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0164,probability,113.84,N/A,N/A,ok,
celeb_test_real_019,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3924,probability,118.37,N/A,N/A,ok,
celeb_test_real_020,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0207,probability,130.6,N/A,N/A,ok,
celeb_test_real_021,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1562,probability,139.76,N/A,N/A,ok,
celeb_test_real_022,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1824,probability,127.61,N/A,N/A,ok,
celeb_test_real_023,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3563,probability,125.58,N/A,N/A,ok,
celeb_test_real_024,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0774,probability,121.03,N/A,N/A,ok,
celeb_test_real_025,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0974,probability,113.56,N/A,N/A,ok,
celeb_test_real_026,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0846,probability,128.84,N/A,N/A,ok,
celeb_test_real_027,Celeb-DF-v2-Test-Real,0,UCF,visual,0.223,probability,132.17,N/A,N/A,ok,
celeb_test_real_028,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3297,probability,106.26,N/A,N/A,ok,
celeb_test_real_029,Celeb-DF-v2-Test-Real,0,UCF,visual,0.5701,probability,107.26,N/A,N/A,ok,
celeb_test_real_030,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3306,probability,146.13,N/A,N/A,ok,
celeb_test_real_031,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0134,probability,98.02,N/A,N/A,ok,
celeb_test_real_032,Celeb-DF-v2-Test-Real,0,UCF,visual,0.3762,probability,132.38,N/A,N/A,ok,
celeb_test_real_033,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1152,probability,124.15,N/A,N/A,ok,
celeb_test_real_034,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0147,probability,111.16,N/A,N/A,ok,
celeb_test_real_035,Celeb-DF-v2-Test-Real,0,UCF,visual,0.1155,probability,100.44,N/A,N/A,ok,
celeb_test_real_036,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0708,probability,98.23,N/A,N/A,ok,
celeb_test_real_037,Celeb-DF-v2-Test-Real,0,UCF,visual,0.5927,probability,115.03,N/A,N/A,ok,
celeb_test_real_038,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0139,probability,139.48,N/A,N/A,ok,
celeb_test_real_039,Celeb-DF-v2-Test-Real,0,UCF,visual,0.2257,probability,128.41,N/A,N/A,ok,
celeb_test_real_040,Celeb-DF-v2-Test-Real,0,UCF,visual,0.5459,probability,117.46,N/A,N/A,ok,
celeb_test_real_041,Celeb-DF-v2-Test-Real,0,UCF,visual,0.0802,probability,125.94,N/A,N/A,ok,
celeb_test_real_042,Celeb-DF-v2-Test-Real,0,UCF,visual,0.291,probability,111.31,N/A,N/A,ok,
celeb_test_real_043,Celeb-DF-v2-Test-Real,0,UCF,visual,0.4336,probability,138.42,N/A,N/A,ok,
celeb_test_real_044,Celeb-DF-v2-Test-Real,0,UCF,visual,0.403,probability,119.15,N/A,N/A,ok,
