sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
ff_test_000000,FF-Deepfakes-c23,1,UCF,visual,0.9853,probability,4476.44,N/A,N/A,ok,
ff_test_000001,FF-Deepfakes-c23,1,UCF,visual,0.9937,probability,182.95,N/A,N/A,ok,
ff_test_000002,FF-Deepfakes-c23,1,UCF,visual,0.9515,probability,199.54,N/A,N/A,ok,
ff_test_000003,FF-Deepfakes-c23,1,UCF,visual,0.9299,probability,196.95,N/A,N/A,ok,
ff_test_000004,FF-Deepfakes-c23,1,UCF,visual,0.9935,probability,201.68,N/A,N/A,ok,
ff_test_000005,FF-Deepfakes-c23,1,UCF,visual,0.9971,probability,204.13,N/A,N/A,ok,
ff_test_000006,FF-Deepfakes-c23,1,UCF,visual,0.9809,probability,229.98,N/A,N/A,ok,
ff_test_000007,FF-Deepfakes-c23,1,UCF,visual,0.9957,probability,213.76,N/A,N/A,ok,
ff_test_000008,FF-Deepfakes-c23,1,UCF,visual,0.9741,probability,179.99,N/A,N/A,ok,
ff_test_000009,FF-Deepfakes-c23,1,UCF,visual,0.9955,probability,175.4,N/A,N/A,ok,
ff_test_000010,FF-Deepfakes-c23,1,UCF,visual,0.9912,probability,164.88,N/A,N/A,ok,
ff_test_000011,FF-Deepfakes-c23,1,UCF,visual,0.9961,probability,183.14,N/A,N/A,ok,
ff_test_000012,FF-Deepfakes-c23,1,UCF,visual,0.995,probability,180.8,N/A,N/A,ok,
ff_test_000013,FF-Deepfakes-c23,1,UCF,visual,0.9993,probability,196.75,N/A,N/A,ok,
ff_test_000014,FF-Deepfakes-c23,1,UCF,visual,0.9989,probability,173.41,N/A,N/A,ok,
ff_test_000015,FF-Deepfakes-c23,1,UCF,visual,0.9917,probability,178.36,N/A,N/A,ok,
ff_test_000016,FF-Deepfakes-c23,1,UCF,visual,0.9965,probability,179.97,N/A,N/A,ok,
ff_test_000017,FF-Deepfakes-c23,1,UCF,visual,0.9966,probability,185.35,N/A,N/A,ok,
ff_test_000018,FF-Deepfakes-c23,1,UCF,visual,0.9979,probability,200.52,N/A,N/A,ok,
ff_test_000019,FF-Deepfakes-c23,1,UCF,visual,0.9982,probability,182.24,N/A,N/A,ok,
ff_test_000020,FF-Deepfakes-c23,1,UCF,visual,0.9882,probability,188.76,N/A,N/A,ok,
ff_test_000021,FF-Deepfakes-c23,1,UCF,visual,0.9949,probability,203.94,N/A,N/A,ok,
ff_test_000022,FF-Deepfakes-c23,1,UCF,visual,0.6451,probability,199.88,N/A,N/A,ok,
ff_test_000023,FF-Deepfakes-c23,1,UCF,visual,0.9959,probability,209.37,N/A,N/A,ok,
ff_test_000024,FF-Deepfakes-c23,1,UCF,visual,0.978,probability,211.98,N/A,N/A,ok,
ff_test_000025,FF-Deepfakes-c23,1,UCF,visual,0.9973,probability,199.92,N/A,N/A,ok,
ff_test_000026,FF-Deepfakes-c23,1,UCF,visual,0.997,probability,199.69,N/A,N/A,ok,
ff_test_000027,FF-Deepfakes-c23,1,UCF,visual,0.9963,probability,202.4,N/A,N/A,ok,
ff_test_000028,FF-Deepfakes-c23,1,UCF,visual,0.8923,probability,198.46,N/A,N/A,ok,
ff_test_000029,FF-Deepfakes-c23,1,UCF,visual,0.9949,probability,197.44,N/A,N/A,ok,
ff_test_000030,FF-Deepfakes-c23,1,UCF,visual,0.9974,probability,190.96,N/A,N/A,ok,
ff_test_000031,FF-Deepfakes-c23,1,UCF,visual,0.9958,probability,210.52,N/A,N/A,ok,
ff_test_000032,FF-Deepfakes-c23,1,UCF,visual,0.9961,probability,207.65,N/A,N/A,ok,
ff_test_000033,FF-Deepfakes-c23,1,UCF,visual,0.5828,probability,231.32,N/A,N/A,ok,
ff_test_000034,FF-Deepfakes-c23,1,UCF,visual,0.9957,probability,215.59,N/A,N/A,ok,
ff_test_000035,FF-Deepfakes-c23,1,UCF,visual,0.7462,probability,220.52,N/A,N/A,ok,
ff_test_000036,FF-Deepfakes-c23,1,UCF,visual,0.9963,probability,213.24,N/A,N/A,ok,
ff_test_000037,FF-Deepfakes-c23,1,UCF,visual,0.9937,probability,221.13,N/A,N/A,ok,
ff_test_000038,FF-Deepfakes-c23,1,UCF,visual,0.9504,probability,206.7,N/A,N/A,ok,
ff_test_000039,FF-Deepfakes-c23,1,UCF,visual,0.9972,probability,228.71,N/A,N/A,ok,
ff_test_000040,FF-Deepfakes-c23,1,UCF,visual,0.9971,probability,205.0,N/A,N/A,ok,
ff_test_000041,FF-Deepfakes-c23,1,UCF,visual,0.992,probability,211.64,N/A,N/A,ok,
ff_test_000042,FF-Deepfakes-c23,1,UCF,visual,0.9556,probability,228.56,N/A,N/A,ok,
ff_test_000043,FF-Deepfakes-c23,1,UCF,visual,0.9952,probability,211.84,N/A,N/A,ok,
ff_test_000044,FF-Deepfakes-c23,1,UCF,visual,0.9947,probability,212.52,N/A,N/A,ok,
ff_test_000045,FF-Deepfakes-c23,1,UCF,visual,0.9968,probability,209.64,N/A,N/A,ok,
ff_test_000046,FF-Deepfakes-c23,1,UCF,visual,0.8447,probability,222.76,N/A,N/A,ok,
ff_test_000047,FF-Deepfakes-c23,1,UCF,visual,0.4502,probability,195.37,N/A,N/A,ok,
ff_test_000048,FF-Deepfakes-c23,1,UCF,visual,0.9971,probability,222.02,N/A,N/A,ok,
ff_test_000049,FF-Deepfakes-c23,1,UCF,visual,0.9943,probability,192.57,N/A,N/A,ok,
ff_test_000050,FF-Deepfakes-c23,1,UCF,visual,0.9933,probability,188.5,N/A,N/A,ok,
ff_test_000051,FF-Deepfakes-c23,1,UCF,visual,0.9937,probability,190.56,N/A,N/A,ok,
ff_test_000052,FF-Deepfakes-c23,1,UCF,visual,0.9847,probability,194.35,N/A,N/A,ok,
ff_test_000053,FF-Deepfakes-c23,1,UCF,visual,0.9969,probability,202.01,N/A,N/A,ok,
ff_test_000054,FF-Deepfakes-c23,1,UCF,visual,0.9978,probability,190.89,N/A,N/A,ok,
ff_test_000055,FF-Deepfakes-c23,1,UCF,visual,0.9949,probability,199.49,N/A,N/A,ok,
