sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
dfdc_test_000000,DFDC-DFDC_Fake,1,Xception,visual,0.441,probability,3783.91,N/A,N/A,ok,
dfdc_test_000001,DFDC-DFDC_Fake,1,Xception,visual,0.2584,probability,88.78,N/A,N/A,ok,
dfdc_test_000002,DFDC-DFDC_Fake,1,Xception,visual,0.4895,probability,74.68,N/A,N/A,ok,
dfdc_test_000003,DFDC-DFDC_Fake,1,Xception,visual,0.9128,probability,77.95,N/A,N/A,ok,
dfdc_test_000004,DFDC-DFDC_Fake,1,Xception,visual,0.7671,probability,92.37,N/A,N/A,ok,
dfdc_test_000005,DFDC-DFDC_Fake,1,Xception,visual,0.5078,probability,78.07,N/A,N/A,ok,
dfdc_test_000006,DFDC-DFDC_Fake,1,Xception,visual,0.4841,probability,80.43,N/A,N/A,ok,
dfdc_test_000007,DFDC-DFDC_Fake,1,Xception,visual,0.6548,probability,81.09,N/A,N/A,ok,
dfdc_test_000008,DFDC-DFDC_Fake,1,Xception,visual,0.5996,probability,77.01,N/A,N/A,ok,
dfdc_test_000009,DFDC-DFDC_Fake,1,Xception,visual,0.3845,probability,91.14,N/A,N/A,ok,
dfdc_test_000010,DFDC-DFDC_Fake,1,Xception,visual,0.6881,probability,90.19,N/A,N/A,ok,
dfdc_test_000011,DFDC-DFDC_Fake,1,Xception,visual,0.6972,probability,94.41,N/A,N/A,ok,
dfdc_test_000012,DFDC-DFDC_Fake,1,Xception,visual,0.8732,probability,79.37,N/A,N/A,ok,
dfdc_test_000013,DFDC-DFDC_Fake,1,Xception,visual,0.4756,probability,73.01,N/A,N/A,ok,
dfdc_test_000014,DFDC-DFDC_Fake,1,Xception,visual,0.5424,probability,71.34,N/A,N/A,ok,
dfdc_test_000015,DFDC-DFDC_Fake,1,Xception,visual,0.5609,probability,93.95,N/A,N/A,ok,
dfdc_test_000016,DFDC-DFDC_Fake,1,Xception,visual,0.2133,probability,73.97,N/A,N/A,ok,
dfdc_test_000017,DFDC-DFDC_Fake,1,Xception,visual,0.3311,probability,84.2,N/A,N/A,ok,
dfdc_test_000018,DFDC-DFDC_Fake,1,Xception,visual,0.4392,probability,93.6,N/A,N/A,ok,
dfdc_test_000019,DFDC-DFDC_Fake,1,Xception,visual,0.9726,probability,83.53,N/A,N/A,ok,
dfdc_test_000020,DFDC-DFDC_Fake,1,Xception,visual,0.2832,probability,77.31,N/A,N/A,ok,
dfdc_test_000021,DFDC-DFDC_Fake,1,Xception,visual,0.6946,probability,92.54,N/A,N/A,ok,
dfdc_test_000022,DFDC-DFDC_Fake,1,Xception,visual,0.4617,probability,82.47,N/A,N/A,ok,
dfdc_test_000023,DFDC-DFDC_Fake,1,Xception,visual,0.6742,probability,84.7,N/A,N/A,ok,
dfdc_test_000024,DFDC-DFDC_Fake,1,Xception,visual,0.467,probability,93.27,N/A,N/A,ok,
dfdc_test_000025,DFDC-DFDC_Fake,1,Xception,visual,0.3858,probability,90.17,N/A,N/A,ok,
dfdc_test_000026,DFDC-DFDC_Fake,1,Xception,visual,0.3542,probability,80.92,N/A,N/A,ok,
dfdc_test_000027,DFDC-DFDC_Fake,1,Xception,visual,0.6918,probability,102.29,N/A,N/A,ok,
dfdc_test_000028,DFDC-DFDC_Fake,1,Xception,visual,0.727,probability,80.24,N/A,N/A,ok,
dfdc_test_000029,DFDC-DFDC_Fake,1,Xception,visual,0.4671,probability,86.31,N/A,N/A,ok,
dfdc_test_000030,DFDC-DFDC_Fake,1,Xception,visual,0.513,probability,86.81,N/A,N/A,ok,
dfdc_test_000031,DFDC-DFDC_Fake,1,Xception,visual,0.5855,probability,81.15,N/A,N/A,ok,
dfdc_test_000032,DFDC-DFDC_Fake,1,Xception,visual,0.8086,probability,80.18,N/A,N/A,ok,
dfdc_test_000033,DFDC-DFDC_Fake,1,Xception,visual,0.8771,probability,96.14,N/A,N/A,ok,
dfdc_test_000034,DFDC-DFDC_Fake,1,Xception,visual,0.4266,probability,117.54,N/A,N/A,ok,
dfdc_test_000035,DFDC-DFDC_Fake,1,Xception,visual,0.4814,probability,90.55,N/A,N/A,ok,
dfdc_test_000036,DFDC-DFDC_Fake,1,Xception,visual,0.4599,probability,89.47,N/A,N/A,ok,
dfdc_test_000037,DFDC-DFDC_Fake,1,Xception,visual,0.3385,probability,98.86,N/A,N/A,ok,
dfdc_test_000038,DFDC-DFDC_Fake,1,Xception,visual,0.5686,probability,83.8,N/A,N/A,ok,
dfdc_test_000039,DFDC-DFDC_Fake,1,Xception,visual,0.6726,probability,75.45,N/A,N/A,ok,
dfdc_test_000040,DFDC-DFDC_Fake,1,Xception,visual,0.5014,probability,83.15,N/A,N/A,ok,
