sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
celeb_test_real_000,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5363,probability,4327.15,N/A,N/A,ok,
celeb_test_real_001,Celeb-DF-v2-Test-Real,0,Xception,visual,0.7848,probability,107.77,N/A,N/A,ok,
celeb_test_real_002,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4609,probability,118.62,N/A,N/A,ok,
celeb_test_real_003,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5524,probability,88.97,N/A,N/A,ok,
celeb_test_real_004,Celeb-DF-v2-Test-Real,0,Xception,visual,0.428,probability,101.35,N/A,N/A,ok,
celeb_test_real_005,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4349,probability,91.03,N/A,N/A,ok,
celeb_test_real_006,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4843,probability,85.56,N/A,N/A,ok,
celeb_test_real_007,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4712,probability,132.97,N/A,N/A,ok,
celeb_test_real_008,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5121,probability,226.08,N/A,N/A,ok,
celeb_test_real_009,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4847,probability,184.76,N/A,N/A,ok,
celeb_test_real_010,Celeb-DF-v2-Test-Real,0,Xception,visual,0.1625,probability,165.32,N/A,N/A,ok,
celeb_test_real_011,Celeb-DF-v2-Test-Real,0,Xception,visual,0.2927,probability,123.21,N/A,N/A,ok,
celeb_test_real_012,Celeb-DF-v2-Test-Real,0,Xception,visual,0.3293,probability,100.44,N/A,N/A,ok,
celeb_test_real_013,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4248,probability,103.71,N/A,N/A,ok,
celeb_test_real_014,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5535,probability,125.19,N/A,N/A,ok,
celeb_test_real_015,Celeb-DF-v2-Test-Real,0,Xception,visual,0.3576,probability,98.84,N/A,N/A,ok,
celeb_test_real_016,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5051,probability,82.32,N/A,N/A,ok,
celeb_test_real_017,Celeb-DF-v2-Test-Real,0,Xception,visual,0.525,probability,90.31,N/A,N/A,ok,
celeb_test_real_018,Celeb-DF-v2-Test-Real,0,Xception,visual,0.1073,probability,116.58,N/A,N/A,ok,
celeb_test_real_019,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5389,probability,193.16,N/A,N/A,ok,
celeb_test_real_020,Celeb-DF-v2-Test-Real,0,Xception,visual,0.1071,probability,190.31,N/A,N/A,ok,
celeb_test_real_021,Celeb-DF-v2-Test-Real,0,Xception,visual,0.3189,probability,153.16,N/A,N/A,ok,
celeb_test_real_022,Celeb-DF-v2-Test-Real,0,Xception,visual,0.2969,probability,108.45,N/A,N/A,ok,
celeb_test_real_023,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5216,probability,99.1,N/A,N/A,ok,
celeb_test_real_024,Celeb-DF-v2-Test-Real,0,Xception,visual,0.2644,probability,181.62,N/A,N/A,ok,
celeb_test_real_025,Celeb-DF-v2-Test-Real,0,Xception,visual,0.3421,probability,196.8,N/A,N/A,ok,
celeb_test_real_026,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4943,probability,146.58,N/A,N/A,ok,
celeb_test_real_027,Celeb-DF-v2-Test-Real,0,Xception,visual,0.5111,probability,155.83,N/A,N/A,ok,
celeb_test_real_028,Celeb-DF-v2-Test-Real,0,Xception,visual,0.4114,probability,168.71,N/A,N/A,ok,
celeb_test_real_029,Celeb-DF-v2-Test-Real,0,Xception,visual,0.6883,probability,138.46,N/A,N/A,ok,
