sample_id,dataset,label,detector_name,modality,fake_score,score_type,inference_time_ms,window_start_sec,window_end_sec,status,error_message
ff_test_000000,FF-Deepfakes-c23,1,Xception,visual,0.9861,probability,3389.72,N/A,N/A,ok,
ff_test_000001,FF-Deepfakes-c23,1,Xception,visual,0.9311,probability,74.35,N/A,N/A,ok,
ff_test_000002,FF-Deepfakes-c23,1,Xception,visual,0.8604,probability,91.78,N/A,N/A,ok,
ff_test_000003,FF-Deepfakes-c23,1,Xception,visual,0.7517,probability,75.47,N/A,N/A,ok,
ff_test_000004,FF-Deepfakes-c23,1,Xception,visual,0.9368,probability,79.59,N/A,N/A,ok,
ff_test_000005,FF-Deepfakes-c23,1,Xception,visual,0.999,probability,81.69,N/A,N/A,ok,
ff_test_000006,FF-Deepfakes-c23,1,Xception,visual,0.9499,probability,78.77,N/A,N/A,ok,
ff_test_000007,FF-Deepfakes-c23,1,Xception,visual,0.9839,probability,92.26,N/A,N/A,ok,
ff_test_000008,FF-Deepfakes-c23,1,Xception,visual,0.8094,probability,86.31,N/A,N/A,ok,
ff_test_000009,FF-Deepfakes-c23,1,Xception,visual,0.9989,probability,79.74,N/A,N/A,ok,
ff_test_000010,FF-Deepfakes-c23,1,Xception,visual,0.8227,probability,86.71,N/A,N/A,ok,
ff_test_000011,FF-Deepfakes-c23,1,Xception,visual,0.9982,probability,80.32,N/A,N/A,ok,
ff_test_000012,FF-Deepfakes-c23,1,Xception,visual,0.9797,probability,91.74,N/A,N/A,ok,
ff_test_000013,FF-Deepfakes-c23,1,Xception,visual,0.9985,probability,89.0,N/A,N/A,ok,
ff_test_000014,FF-Deepfakes-c23,1,Xception,visual,0.996,probability,81.61,N/A,N/A,ok,
ff_test_000015,FF-Deepfakes-c23,1,Xception,visual,0.9639,probability,83.71,N/A,N/A,ok,
ff_test_000016,FF-Deepfakes-c23,1,Xception,visual,0.9936,probability,78.44,N/A,N/A,ok,
ff_test_000017,FF-Deepfakes-c23,1,Xception,visual,0.9996,probability,72.17,N/A,N/A,ok,
ff_test_000018,FF-Deepfakes-c23,1,Xception,visual,0.9954,probability,84.5,N/A,N/A,ok,
ff_test_000019,FF-Deepfakes-c23,1,Xception,visual,0.9511,probability,75.58,N/A,N/A,ok,
ff_test_000020,FF-Deepfakes-c23,1,Xception,visual,0.9617,probability,76.82,N/A,N/A,ok,
ff_test_000021,FF-Deepfakes-c23,1,Xception,visual,0.9924,probability,72.98,N/A,N/A,ok,
ff_test_000022,FF-Deepfakes-c23,1,Xception,visual,0.4676,probability,74.66,N/A,N/A,ok,
ff_test_000023,FF-Deepfakes-c23,1,Xception,visual,0.9951,probability,73.42,N/A,N/A,ok,
ff_test_000024,FF-Deepfakes-c23,1,Xception,visual,0.985,probability,73.25,N/A,N/A,ok,
ff_test_000025,FF-Deepfakes-c23,1,Xception,visual,0.9902,probability,95.95,N/A,N/A,ok,
ff_test_000026,FF-Deepfakes-c23,1,Xception,visual,0.9994,probability,85.1,N/A,N/A,ok,
ff_test_000027,FF-Deepfakes-c23,1,Xception,visual,0.9835,probability,79.85,N/A,N/A,ok,
ff_test_000028,FF-Deepfakes-c23,1,Xception,visual,0.8253,probability,73.5,N/A,N/A,ok,
ff_test_000029,FF-Deepfakes-c23,1,Xception,visual,0.9973,probability,72.36,N/A,N/A,ok,
ff_test_000030,FF-Deepfakes-c23,1,Xception,visual,0.9968,probability,74.98,N/A,N/A,ok,
ff_test_000031,FF-Deepfakes-c23,1,Xception,visual,0.9086,probability,83.96,N/A,N/A,ok,
ff_test_000032,FF-Deepfakes-c23,1,Xception,visual,0.9984,probability,70.57,N/A,N/A,ok,
ff_test_000033,FF-Deepfakes-c23,1,Xception,visual,0.5387,probability,68.05,N/A,N/A,ok,
ff_test_000034,FF-Deepfakes-c23,1,Xception,visual,0.989,probability,77.52,N/A,N/A,ok,
ff_test_000035,FF-Deepfakes-c23,1,Xception,visual,0.823,probability,77.74,N/A,N/A,ok,
ff_test_000036,FF-Deepfakes-c23,1,Xception,visual,0.954,probability,74.49,N/A,N/A,ok,
ff_test_000037,FF-Deepfakes-c23,1,Xception,visual,0.9645,probability,68.54,N/A,N/A,ok,
ff_test_000038,FF-Deepfakes-c23,1,Xception,visual,0.7116,probability,83.69,N/A,N/A,ok,
ff_test_000039,FF-Deepfakes-c23,1,Xception,visual,0.9659,probability,82.91,N/A,N/A,ok,
ff_test_000040,FF-Deepfakes-c23,1,Xception,visual,0.9014,probability,77.88,N/A,N/A,ok,
ff_test_000041,FF-Deepfakes-c23,1,Xception,visual,0.9927,probability,78.49,N/A,N/A,ok,
ff_test_000042,FF-Deepfakes-c23,1,Xception,visual,0.9759,probability,84.9,N/A,N/A,ok,
ff_test_000043,FF-Deepfakes-c23,1,Xception,visual,0.9887,probability,81.67,N/A,N/A,ok,
ff_test_000044,FF-Deepfakes-c23,1,Xception,visual,0.9955,probability,92.94,N/A,N/A,ok,
ff_test_000045,FF-Deepfakes-c23,1,Xception,visual,0.9915,probability,77.87,N/A,N/A,ok,
ff_test_000046,FF-Deepfakes-c23,1,Xception,visual,0.4815,probability,81.41,N/A,N/A,ok,
ff_test_000047,FF-Deepfakes-c23,1,Xception,visual,0.7516,probability,81.46,N/A,N/A,ok,
ff_test_000048,FF-Deepfakes-c23,1,Xception,visual,0.9656,probability,75.52,N/A,N/A,ok,
ff_test_000049,FF-Deepfakes-c23,1,Xception,visual,0.996,probability,80.77,N/A,N/A,ok,
ff_test_000050,FF-Deepfakes-c23,1,Xception,visual,0.9677,probability,84.2,N/A,N/A,ok,
ff_test_000051,FF-Deepfakes-c23,1,Xception,visual,0.9308,probability,78.4,N/A,N/A,ok,
ff_test_000052,FF-Deepfakes-c23,1,Xception,visual,0.973,probability,77.9,N/A,N/A,ok,
ff_test_000053,FF-Deepfakes-c23,1,Xception,visual,0.9977,probability,69.56,N/A,N/A,ok,
ff_test_000054,FF-Deepfakes-c23,1,Xception,visual,0.9988,probability,71.04,N/A,N/A,ok,
ff_test_000055,FF-Deepfakes-c23,1,Xception,visual,0.9916,probability,76.85,N/A,N/A,ok,
ff_test_000056,FF-Deepfakes-c23,1,Xception,visual,0.8218,probability,71.46,N/A,N/A,ok,
ff_test_000057,FF-Deepfakes-c23,1,Xception,visual,0.9845,probability,80.66,N/A,N/A,ok,
ff_test_000058,FF-Deepfakes-c23,1,Xception,visual,0.9904,probability,74.46,N/A,N/A,ok,
ff_test_000059,FF-Deepfakes-c23,1,Xception,visual,0.4934,probability,74.36,N/A,N/A,ok,
ff_test_000060,FF-Deepfakes-c23,1,Xception,visual,0.9975,probability,77.9,N/A,N/A,ok,
ff_test_000061,FF-Deepfakes-c23,1,Xception,visual,0.8141,probability,73.85,N/A,N/A,ok,
ff_test_000062,FF-Deepfakes-c23,1,Xception,visual,0.9536,probability,69.21,N/A,N/A,ok,
ff_test_000063,FF-Deepfakes-c23,1,Xception,visual,0.9962,probability,76.53,N/A,N/A,ok,
ff_test_000064,FF-Deepfakes-c23,1,Xception,visual,0.9854,probability,76.3,N/A,N/A,ok,
ff_test_000065,FF-Deepfakes-c23,1,Xception,visual,0.9652,probability,92.31,N/A,N/A,ok,
ff_test_000066,FF-Deepfakes-c23,1,Xception,visual,0.999,probability,73.96,N/A,N/A,ok,
ff_test_000067,FF-Deepfakes-c23,1,Xception,visual,0.9448,probability,75.21,N/A,N/A,ok,
ff_test_000068,FF-Deepfakes-c23,1,Xception,visual,0.9793,probability,87.15,N/A,N/A,ok,
ff_test_000069,FF-Deepfakes-c23,1,Xception,visual,0.9913,probability,79.52,N/A,N/A,ok,
ff_test_000070,FF-Deepfakes-c23,1,Xception,visual,0.9819,probability,77.3,N/A,N/A,ok,
ff_test_000071,FF-Deepfakes-c23,1,Xception,visual,0.896,probability,73.41,N/A,N/A,ok,
ff_test_000072,FF-Deepfakes-c23,1,Xception,visual,0.9992,probability,82.65,N/A,N/A,ok,
ff_test_000073,FF-Deepfakes-c23,1,Xception,visual,0.9945,probability,77.3,N/A,N/A,ok,
ff_test_000074,FF-Deepfakes-c23,1,Xception,visual,0.9342,probability,78.61,N/A,N/A,ok,
ff_test_000075,FF-Deepfakes-c23,1,Xception,visual,0.9788,probability,75.19,N/A,N/A,ok,
ff_test_000076,FF-Deepfakes-c23,1,Xception,visual,0.9727,probability,81.88,N/A,N/A,ok,
ff_test_000077,FF-Deepfakes-c23,1,Xception,visual,0.9999,probability,91.4,N/A,N/A,ok,
ff_test_000078,FF-Deepfakes-c23,1,Xception,visual,0.9732,probability,81.85,N/A,N/A,ok,
ff_test_000079,FF-Deepfakes-c23,1,Xception,visual,0.9841,probability,77.26,N/A,N/A,ok,
ff_test_000080,FF-Deepfakes-c23,1,Xception,visual,0.993,probability,85.68,N/A,N/A,ok,
ff_test_000081,FF-Deepfakes-c23,1,Xception,visual,0.9965,probability,80.29,N/A,N/A,ok,
ff_test_000082,FF-Deepfakes-c23,1,Xception,visual,0.9676,probability,76.19,N/A,N/A,ok,
ff_test_000083,FF-Deepfakes-c23,1,Xception,visual,0.9874,probability,85.52,N/A,N/A,ok,
ff_test_000084,FF-Deepfakes-c23,1,Xception,visual,0.9938,probability,75.78,N/A,N/A,ok,
ff_test_000085,FF-Deepfakes-c23,1,Xception,visual,0.9705,probability,82.37,N/A,N/A,ok,
ff_test_000086,FF-Deepfakes-c23,1,Xception,visual,0.9742,probability,78.57,N/A,N/A,ok,
ff_test_000087,FF-Deepfakes-c23,1,Xception,visual,0.9979,probability,81.06,N/A,N/A,ok,
ff_test_000088,FF-Deepfakes-c23,1,Xception,visual,0.9947,probability,82.0,N/A,N/A,ok,
ff_test_000089,FF-Deepfakes-c23,1,Xception,visual,0.8657,probability,87.27,N/A,N/A,ok,
ff_test_000090,FF-Deepfakes-c23,1,Xception,visual,0.9955,probability,82.45,N/A,N/A,ok,
ff_test_000091,FF-Deepfakes-c23,1,Xception,visual,0.9705,probability,93.45,N/A,N/A,ok,
ff_test_000092,FF-Deepfakes-c23,1,Xception,visual,0.9696,probability,79.57,N/A,N/A,ok,
ff_test_000093,FF-Deepfakes-c23,1,Xception,visual,0.989,probability,85.84,N/A,N/A,ok,
ff_test_000094,FF-Deepfakes-c23,1,Xception,visual,0.9881,probability,79.88,N/A,N/A,ok,
ff_test_000095,FF-Deepfakes-c23,1,Xception,visual,0.9615,probability,95.4,N/A,N/A,ok,
ff_test_000096,FF-Deepfakes-c23,1,Xception,visual,0.9981,probability,83.98,N/A,N/A,ok,
ff_test_000097,FF-Deepfakes-c23,1,Xception,visual,0.9739,probability,76.82,N/A,N/A,ok,
ff_test_000098,FF-Deepfakes-c23,1,Xception,visual,0.9937,probability,73.2,N/A,N/A,ok,
ff_test_000099,FF-Deepfakes-c23,1,Xception,visual,0.9963,probability,81.92,N/A,N/A,ok,
ff_test_000100,FF-Deepfakes-c23,1,Xception,visual,0.9914,probability,83.64,N/A,N/A,ok,
ff_test_000101,FF-Deepfakes-c23,1,Xception,visual,0.9954,probability,79.95,N/A,N/A,ok,
ff_test_000102,FF-Deepfakes-c23,1,Xception,visual,0.9644,probability,81.4,N/A,N/A,ok,
ff_test_000103,FF-Deepfakes-c23,1,Xception,visual,0.9534,probability,113.34,N/A,N/A,ok,
ff_test_000104,FF-Deepfakes-c23,1,Xception,visual,0.9903,probability,79.26,N/A,N/A,ok,
ff_test_000105,FF-Deepfakes-c23,1,Xception,visual,0.9948,probability,89.09,N/A,N/A,ok,
ff_test_000106,FF-Deepfakes-c23,1,Xception,visual,0.9302,probability,92.19,N/A,N/A,ok,
ff_test_000107,FF-Deepfakes-c23,1,Xception,visual,0.9946,probability,94.1,N/A,N/A,ok,
ff_test_000108,FF-Deepfakes-c23,1,Xception,visual,0.9989,probability,79.72,N/A,N/A,ok,
ff_test_000109,FF-Deepfakes-c23,1,Xception,visual,0.9914,probability,86.65,N/A,N/A,ok,
ff_test_000110,FF-Deepfakes-c23,1,Xception,visual,0.937,probability,87.62,N/A,N/A,ok,
ff_test_000111,FF-Deepfakes-c23,1,Xception,visual,0.9997,probability,86.92,N/A,N/A,ok,
ff_test_000112,FF-Deepfakes-c23,1,Xception,visual,0.8865,probability,82.09,N/A,N/A,ok,
ff_test_000113,FF-Deepfakes-c23,1,Xception,visual,0.9974,probability,79.73,N/A,N/A,ok,
ff_test_000114,FF-Deepfakes-c23,1,Xception,visual,0.8951,probability,81.87,N/A,N/A,ok,
ff_test_000115,FF-Deepfakes-c23,1,Xception,visual,0.9726,probability,88.59,N/A,N/A,ok,
ff_test_000116,FF-Deepfakes-c23,1,Xception,visual,0.9836,probability,79.81,N/A,N/A,ok,
ff_test_000117,FF-Deepfakes-c23,1,Xception,visual,0.9161,probability,79.27,N/A,N/A,ok,
ff_test_000118,FF-Deepfakes-c23,1,Xception,visual,0.9746,probability,78.05,N/A,N/A,ok,
ff_test_000119,FF-Deepfakes-c23,1,Xception,visual,0.9965,probability,81.67,N/A,N/A,ok,
ff_test_000120,FF-Deepfakes-c23,1,Xception,visual,0.9456,probability,90.62,N/A,N/A,ok,
ff_test_000121,FF-Deepfakes-c23,1,Xception,visual,0.9683,probability,82.53,N/A,N/A,ok,
ff_test_000122,FF-Deepfakes-c23,1,Xception,visual,0.993,probability,75.84,N/A,N/A,ok,
ff_test_000123,FF-Deepfakes-c23,1,Xception,visual,0.9375,probability,80.41,N/A,N/A,ok,
ff_test_000124,FF-Deepfakes-c23,1,Xception,visual,0.9907,probability,77.29,N/A,N/A,ok,
ff_test_000125,FF-Deepfakes-c23,1,Xception,visual,0.8506,probability,85.51,N/A,N/A,ok,
ff_test_000126,FF-Deepfakes-c23,1,Xception,visual,0.9479,probability,76.92,N/A,N/A,ok,
ff_test_000127,FF-Deepfakes-c23,1,Xception,visual,0.9893,probability,82.43,N/A,N/A,ok,
ff_test_000128,FF-Deepfakes-c23,1,Xception,visual,0.9888,probability,87.05,N/A,N/A,ok,
ff_test_000129,FF-Deepfakes-c23,1,Xception,visual,0.9723,probability,80.33,N/A,N/A,ok,
ff_test_000130,FF-Deepfakes-c23,1,Xception,visual,0.9986,probability,79.86,N/A,N/A,ok,
ff_test_000131,FF-Deepfakes-c23,1,Xception,visual,0.9858,probability,82.64,N/A,N/A,ok,
ff_test_000132,FF-Deepfakes-c23,1,Xception,visual,0.992,probability,82.45,N/A,N/A,ok,
