Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,1.0
0.003,0.0,1.0
0.004,0.0,1.0
0.005,0.0,1.0
0.006,0.0,1.0
0.007,0.0,1.0
0.008,0.0,1.0
0.009,0.0,1.0
0.01,0.0,1.0
0.011,0.0,1.0
0.012,0.0,1.0
0.013,0.0,0.994382
0.014,0.0,0.994382
0.015,0.0,0.994382
0.016,0.0,0.994382
0.017,0.0,0.994382
0.018,0.0,0.994382
0.019,0.0,0.994382
0.02,0.0,0.994382
0.021,0.0,0.994382
0.022,0.0,0.994382
0.023,0.0,0.994382
0.024,0.0,0.994382
0.025,0.0,0.988764
0.026,0.0,0.988764
0.027,0.0,0.988764
0.028,0.0,0.988764
0.029,0.0,0.988764
0.03,0.0,0.988764
0.031,0.0,0.983146
0.032,0.0,0.983146
0.033,0.0,0.983146
0.034,0.0,0.977528
0.035,0.0,0.97191
0.036,0.0,0.97191
0.037,0.0,0.97191
0.038,0.0,0.97191
0.039,0.0,0.97191
0.04,0.0,0.97191
0.041,0.0,0.97191
0.042,0.0,0.97191
0.043,0.0,0.97191
0.044,0.0,0.97191
0.045,0.0,0.97191
0.046,0.0,0.97191
0.047,0.0,0.97191
0.048,0.0,0.97191
0.049,0.0,0.97191
0.05,0.0,0.97191
0.051,0.0,0.97191
0.052,0.0,0.97191
0.053,0.0,0.97191
0.054,0.0,0.966292
0.055,0.0,0.966292
0.056,0.0,0.960674
0.057,0.0,0.960674
0.058,0.0,0.960674
0.059,0.0,0.960674
0.06,0.0,0.960674
0.061,0.0,0.960674
0.062,0.0,0.960674
0.063,0.0,0.960674
0.064,0.0,0.960674
0.065,0.0,0.960674
0.066,0.0,0.955056
0.067,0.0,0.949438
0.068,0.0,0.949438
0.069,0.0,0.949438
0.07,0.0,0.94382
0.071,0.002941,0.94382
0.072,0.002941,0.938202
0.073,0.002941,0.938202
0.074,0.002941,0.938202
0.075,0.002941,0.938202
0.076,0.002941,0.932584
0.077,0.002941,0.926966
0.078,0.002941,0.926966
0.079,0.002941,0.926966
0.08,0.002941,0.91573
0.081,0.002941,0.910112
0.082,0.002941,0.910112
0.083,0.002941,0.904494
0.084,0.002941,0.904494
0.085,0.002941,0.904494
0.086,0.002941,0.904494
0.087,0.002941,0.904494
0.088,0.002941,0.904494
0.089,0.002941,0.904494
0.09,0.002941,0.904494
0.091,0.002941,0.904494
0.092,0.002941,0.904494
0.093,0.002941,0.904494
0.094,0.002941,0.904494
0.095,0.002941,0.904494
0.096,0.002941,0.898876
0.097,0.002941,0.898876
0.098,0.002941,0.898876
0.099,0.002941,0.893258
0.1,0.002941,0.893258
0.101,0.002941,0.893258
0.102,0.005882,0.88764
0.103,0.005882,0.88764
0.104,0.005882,0.88764
0.105,0.005882,0.88764
0.106,0.005882,0.88764
0.107,0.005882,0.88764
0.108,0.005882,0.88764
0.109,0.005882,0.88764
0.11,0.005882,0.88764
0.111,0.005882,0.88764
0.112,0.005882,0.882022
0.113,0.005882,0.876404
0.114,0.005882,0.876404
0.115,0.005882,0.876404
0.116,0.005882,0.876404
0.117,0.005882,0.876404
0.118,0.005882,0.876404
0.119,0.005882,0.876404
0.12,0.005882,0.865169
0.121,0.005882,0.865169
0.122,0.005882,0.865169
0.123,0.005882,0.865169
0.124,0.005882,0.859551
0.125,0.005882,0.859551
0.126,0.005882,0.859551
0.127,0.005882,0.859551
0.128,0.005882,0.859551
0.129,0.005882,0.859551
0.13,0.005882,0.859551
0.131,0.005882,0.859551
0.132,0.008824,0.859551
0.133,0.008824,0.859551
0.134,0.008824,0.859551
0.135,0.008824,0.859551
0.136,0.008824,0.859551
0.137,0.008824,0.853933
0.138,0.008824,0.853933
0.139,0.008824,0.853933
0.14,0.008824,0.853933
0.141,0.008824,0.848315
0.142,0.008824,0.848315
0.143,0.008824,0.848315
0.144,0.008824,0.848315
0.145,0.008824,0.848315
0.146,0.008824,0.848315
0.147,0.008824,0.842697
0.148,0.008824,0.842697
0.149,0.008824,0.842697
0.15,0.008824,0.837079
0.151,0.008824,0.837079
0.152,0.008824,0.825843
0.153,0.008824,0.820225
0.154,0.008824,0.820225
0.155,0.008824,0.808989
0.156,0.008824,0.808989
0.157,0.008824,0.808989
0.158,0.008824,0.808989
0.159,0.008824,0.803371
0.16,0.008824,0.803371
0.161,0.008824,0.803371
0.162,0.008824,0.803371
0.163,0.008824,0.797753
0.164,0.008824,0.797753
0.165,0.008824,0.797753
0.166,0.008824,0.797753
0.167,0.008824,0.797753
0.168,0.008824,0.792135
0.169,0.008824,0.792135
0.17,0.008824,0.786517
0.171,0.008824,0.786517
0.172,0.008824,0.775281
0.173,0.008824,0.775281
0.174,0.008824,0.775281
0.175,0.008824,0.775281
0.176,0.008824,0.775281
0.177,0.008824,0.769663
0.178,0.008824,0.769663
0.179,0.008824,0.769663
0.18,0.008824,0.769663
0.181,0.008824,0.769663
0.182,0.008824,0.769663
0.183,0.008824,0.769663
0.184,0.008824,0.769663
0.185,0.008824,0.769663
0.186,0.008824,0.764045
0.187,0.008824,0.764045
0.188,0.008824,0.758427
0.189,0.008824,0.752809
0.19,0.008824,0.747191
0.191,0.011765,0.747191
0.192,0.011765,0.747191
0.193,0.011765,0.747191
0.194,0.011765,0.747191
0.195,0.011765,0.747191
0.196,0.011765,0.735955
0.197,0.011765,0.735955
0.198,0.011765,0.735955
0.199,0.011765,0.735955
0.2,0.011765,0.730337
0.201,0.011765,0.730337
0.202,0.011765,0.730337
0.203,0.014706,0.730337
0.204,0.014706,0.724719
0.205,0.014706,0.724719
0.206,0.017647,0.724719
0.207,0.017647,0.724719
0.208,0.017647,0.719101
0.209,0.017647,0.713483
0.21,0.017647,0.702247
0.211,0.020588,0.702247
0.212,0.020588,0.702247
0.213,0.020588,0.702247
0.214,0.020588,0.696629
0.215,0.020588,0.696629
0.216,0.020588,0.691011
0.217,0.020588,0.691011
0.218,0.020588,0.691011
0.219,0.020588,0.691011
0.22,0.020588,0.685393
0.221,0.020588,0.674157
0.222,0.020588,0.674157
0.223,0.020588,0.674157
0.224,0.020588,0.674157
0.225,0.020588,0.662921
0.226,0.020588,0.662921
0.227,0.020588,0.662921
0.228,0.023529,0.662921
0.229,0.023529,0.662921
0.23,0.023529,0.662921
0.231,0.023529,0.657303
0.232,0.023529,0.657303
0.233,0.023529,0.657303
0.234,0.023529,0.657303
0.235,0.026471,0.651685
0.236,0.026471,0.646067
0.237,0.029412,0.646067
0.238,0.029412,0.646067
0.239,0.029412,0.646067
0.24,0.029412,0.646067
0.241,0.029412,0.646067
0.242,0.029412,0.646067
0.243,0.029412,0.646067
0.244,0.029412,0.646067
0.245,0.029412,0.646067
0.246,0.032353,0.646067
0.247,0.032353,0.646067
0.248,0.032353,0.646067
0.249,0.032353,0.646067
0.25,0.032353,0.646067
0.251,0.032353,0.646067
0.252,0.032353,0.640449
0.253,0.032353,0.640449
0.254,0.032353,0.640449
0.255,0.032353,0.640449
0.256,0.032353,0.640449
0.257,0.032353,0.640449
0.258,0.032353,0.634831
0.259,0.032353,0.634831
0.26,0.032353,0.634831
0.261,0.032353,0.634831
0.262,0.032353,0.634831
0.263,0.032353,0.634831
0.264,0.032353,0.629213
0.265,0.032353,0.629213
0.266,0.035294,0.629213
0.267,0.035294,0.629213
0.268,0.035294,0.629213
0.269,0.035294,0.629213
0.27,0.035294,0.617978
0.271,0.035294,0.61236
0.272,0.035294,0.601124
0.273,0.035294,0.601124
0.274,0.035294,0.601124
0.275,0.035294,0.601124
0.276,0.035294,0.601124
0.277,0.035294,0.601124
0.278,0.035294,0.601124
0.279,0.035294,0.601124
0.28,0.035294,0.601124
0.281,0.035294,0.601124
0.282,0.035294,0.601124
0.283,0.035294,0.601124
0.284,0.035294,0.601124
0.285,0.035294,0.601124
0.286,0.038235,0.595506
0.287,0.038235,0.595506
0.288,0.038235,0.595506
0.289,0.038235,0.589888
0.29,0.038235,0.58427
0.291,0.038235,0.58427
0.292,0.038235,0.58427
0.293,0.041176,0.58427
0.294,0.041176,0.58427
0.295,0.041176,0.58427
0.296,0.041176,0.58427
0.297,0.044118,0.58427
0.298,0.044118,0.58427
0.299,0.044118,0.58427
0.3,0.044118,0.58427
0.301,0.044118,0.58427
0.302,0.044118,0.578652
0.303,0.044118,0.578652
0.304,0.044118,0.578652
0.305,0.047059,0.578652
0.306,0.047059,0.578652
0.307,0.047059,0.573034
0.308,0.047059,0.573034
0.309,0.047059,0.573034
0.31,0.047059,0.567416
0.311,0.047059,0.567416
0.312,0.047059,0.567416
0.313,0.047059,0.567416
0.314,0.047059,0.567416
0.315,0.047059,0.567416
0.316,0.047059,0.561798
0.317,0.047059,0.561798
0.318,0.047059,0.561798
0.319,0.05,0.561798
0.32,0.05,0.561798
0.321,0.05,0.561798
0.322,0.052941,0.561798
0.323,0.052941,0.561798
0.324,0.052941,0.55618
0.325,0.052941,0.55618
0.326,0.052941,0.55618
0.327,0.052941,0.55618
0.328,0.055882,0.55618
0.329,0.055882,0.55618
0.33,0.058824,0.55618
0.331,0.058824,0.550562
0.332,0.061765,0.550562
0.333,0.061765,0.533708
