Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,0.996962
0.003,0.000349,0.990885
0.004,0.001743,0.982909
0.005,0.004183,0.973414
0.006,0.006623,0.964679
0.007,0.007668,0.957083
0.008,0.010108,0.950247
0.009,0.012199,0.940372
0.01,0.015336,0.930498
0.011,0.018822,0.915686
0.012,0.021959,0.904671
0.013,0.025096,0.895936
0.014,0.027884,0.8891
0.015,0.031021,0.880365
0.016,0.034158,0.87049
0.017,0.037644,0.862514
0.018,0.040432,0.854539
0.019,0.042524,0.842385
0.02,0.045661,0.838207
0.021,0.0481,0.830611
0.022,0.051934,0.821117
0.023,0.055769,0.8139
0.024,0.058557,0.805925
0.025,0.061345,0.797569
0.026,0.064482,0.794151
0.027,0.066922,0.788834
0.028,0.069711,0.780858
0.029,0.072848,0.775541
0.03,0.075288,0.767186
0.031,0.076682,0.75921
0.032,0.079819,0.752754
0.033,0.083653,0.744398
0.034,0.085047,0.737182
0.035,0.086093,0.728447
0.036,0.088881,0.72237
0.037,0.092018,0.716673
0.038,0.094109,0.709457
0.039,0.096549,0.702621
0.04,0.098641,0.695404
0.041,0.102475,0.689328
0.042,0.10596,0.683631
0.043,0.108749,0.677554
0.044,0.111189,0.672617
0.045,0.112931,0.665401
0.046,0.117463,0.660843
0.047,0.118857,0.654387
0.048,0.120251,0.650589
0.049,0.121645,0.646031
0.05,0.123736,0.642233
0.051,0.125828,0.639195
0.052,0.127571,0.634258
0.053,0.128965,0.63008
0.054,0.13001,0.624763
0.055,0.13245,0.620965
0.056,0.13489,0.615268
0.057,0.136633,0.609951
0.058,0.139073,0.605393
0.059,0.140119,0.601595
0.06,0.143255,0.597417
0.061,0.145695,0.59172
0.062,0.148484,0.587163
0.063,0.151272,0.583365
0.064,0.155106,0.580327
0.065,0.157895,0.576908
0.066,0.161032,0.57425
0.067,0.164517,0.571971
0.068,0.16626,0.566274
0.069,0.166957,0.562476
0.07,0.167306,0.557159
0.071,0.169397,0.553361
0.072,0.170443,0.548044
0.073,0.172534,0.545006
0.074,0.173928,0.541208
0.075,0.177065,0.53703
0.076,0.179854,0.534371
0.077,0.181248,0.532093
0.078,0.183688,0.528675
0.079,0.184733,0.522598
0.08,0.186825,0.51842
0.081,0.18787,0.516141
0.082,0.189962,0.511584
0.083,0.192402,0.507026
0.084,0.193796,0.503988
0.085,0.195539,0.501709
0.086,0.19763,0.497152
0.087,0.200767,0.493733
0.088,0.20251,0.491455
0.089,0.205647,0.488416
0.09,0.207041,0.484998
0.091,0.208784,0.48196
0.092,0.212618,0.477782
0.093,0.213663,0.476643
0.094,0.215755,0.472845
0.095,0.216452,0.469427
0.096,0.217497,0.46373
0.097,0.217846,0.461831
0.098,0.218892,0.459172
0.099,0.221331,0.455374
0.1,0.223423,0.451576
0.101,0.226211,0.449297
0.102,0.227954,0.447019
0.103,0.229348,0.44474
0.104,0.230742,0.439803
0.105,0.232485,0.437904
0.106,0.233879,0.436384
0.107,0.235622,0.431067
0.108,0.237016,0.429928
0.109,0.238411,0.428029
0.11,0.239108,0.42613
0.111,0.241199,0.424611
0.112,0.242942,0.423092
0.113,0.24573,0.420433
0.114,0.247822,0.417395
0.115,0.249564,0.415875
0.116,0.249564,0.413217
0.117,0.253398,0.411698
0.118,0.254793,0.40828
0.119,0.256884,0.404482
0.12,0.258627,0.401823
0.121,0.259672,0.400684
0.122,0.262112,0.398785
0.123,0.263855,0.396126
0.124,0.265249,0.394607
0.125,0.267341,0.390809
0.126,0.269432,0.38815
0.127,0.270129,0.386251
0.128,0.271175,0.385112
0.129,0.273614,0.383973
0.13,0.273614,0.380934
0.131,0.274312,0.379415
0.132,0.276054,0.376377
0.133,0.2771,0.373718
0.134,0.280237,0.37068
0.135,0.280934,0.36954
0.136,0.28198,0.368021
0.137,0.283723,0.366882
0.138,0.286511,0.365742
0.139,0.288951,0.364223
0.14,0.289648,0.361945
0.141,0.292436,0.360046
0.142,0.293482,0.359666
0.143,0.293831,0.357387
0.144,0.294179,0.354728
0.145,0.294876,0.35207
0.146,0.29627,0.349791
0.147,0.298362,0.348652
0.148,0.29871,0.346373
0.149,0.300453,0.344474
0.15,0.302544,0.342955
0.151,0.304287,0.340676
0.152,0.304984,0.338397
0.153,0.306379,0.336878
0.154,0.307076,0.334599
0.155,0.30847,0.331181
0.156,0.309167,0.329662
0.157,0.309864,0.328902
0.158,0.31091,0.327003
0.159,0.312304,0.323585
0.16,0.313001,0.322826
0.161,0.315441,0.321306
0.162,0.316138,0.318268
0.163,0.316487,0.31561
0.164,0.317532,0.31447
0.165,0.319275,0.312571
0.166,0.320669,0.309913
0.167,0.322063,0.308773
0.168,0.323109,0.306874
0.169,0.323806,0.305355
0.17,0.324852,0.303836
0.171,0.326595,0.303456
0.172,0.32764,0.302317
0.173,0.327989,0.300798
0.174,0.328337,0.299658
0.175,0.329035,0.298899
0.176,0.330429,0.297759
0.177,0.330777,0.29548
0.178,0.331474,0.294721
0.179,0.333566,0.292442
0.18,0.33496,0.290543
0.181,0.3374,0.288264
0.182,0.339143,0.287505
0.183,0.340188,0.285986
0.184,0.341582,0.285606
0.185,0.343325,0.284846
0.186,0.345765,0.282947
0.187,0.346811,0.281808
0.188,0.347508,0.280668
0.189,0.348554,0.27801
0.19,0.348554,0.276111
0.191,0.351342,0.274972
0.192,0.352388,0.273452
0.193,0.353085,0.273452
0.194,0.35413,0.272313
0.195,0.355525,0.271174
0.196,0.35657,0.269275
0.197,0.357964,0.268135
0.198,0.358662,0.267376
0.199,0.359359,0.265856
0.2,0.359707,0.263578
0.201,0.36145,0.262058
0.202,0.363193,0.26016
0.203,0.36633,0.25902
0.204,0.367375,0.257881
0.205,0.368421,0.256362
0.206,0.369467,0.255602
0.207,0.371209,0.254842
0.208,0.372255,0.254083
0.209,0.374695,0.251804
0.21,0.375741,0.249905
0.211,0.377483,0.247246
0.212,0.379575,0.247246
0.213,0.381666,0.246867
0.214,0.383409,0.245727
0.215,0.384803,0.244208
0.216,0.386197,0.243069
0.217,0.38794,0.242309
0.218,0.389334,0.238891
0.219,0.389683,0.237372
0.22,0.39038,0.235853
0.221,0.391077,0.233194
0.222,0.392123,0.232434
0.223,0.393865,0.231295
0.224,0.394563,0.230536
0.225,0.395608,0.228257
0.226,0.398048,0.228257
0.227,0.398745,0.227497
0.228,0.400488,0.226738
0.229,0.401185,0.226358
0.23,0.402579,0.225218
0.231,0.402928,0.223699
0.232,0.403276,0.2218
0.233,0.403276,0.219901
0.234,0.404671,0.217622
0.235,0.406065,0.216863
0.236,0.407459,0.214584
0.237,0.40955,0.213825
0.238,0.409899,0.213445
0.239,0.410247,0.212305
0.24,0.410596,0.211166
0.241,0.411293,0.209647
0.242,0.412687,0.208887
0.243,0.413384,0.208507
0.244,0.415127,0.206229
0.245,0.415127,0.205089
0.246,0.417219,0.204709
0.247,0.418961,0.20433
0.248,0.419658,0.20395
0.249,0.420356,0.20357
0.25,0.421401,0.20281
0.251,0.423144,0.20281
0.252,0.423841,0.200912
0.253,0.424538,0.200532
0.254,0.425584,0.200532
0.255,0.427327,0.199772
0.256,0.428024,0.199392
0.257,0.429766,0.199013
0.258,0.430812,0.196734
0.259,0.431858,0.196354
0.26,0.432206,0.195215
0.261,0.432903,0.194455
0.262,0.434298,0.193316
0.263,0.434646,0.192556
0.264,0.435343,0.192176
0.265,0.436389,0.190277
0.266,0.437783,0.189897
