Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,0.99784
0.003,0.000419,0.991361
0.004,0.002093,0.983585
0.005,0.005023,0.974514
0.006,0.007953,0.965443
0.007,0.009209,0.957235
0.008,0.012139,0.950756
0.009,0.01465,0.939525
0.01,0.018418,0.929158
0.011,0.022604,0.915767
0.012,0.026371,0.904104
0.013,0.030138,0.8946
0.014,0.033487,0.886825
0.015,0.037254,0.877754
0.016,0.041021,0.867387
0.017,0.045207,0.858315
0.018,0.048556,0.850108
0.019,0.051067,0.836717
0.02,0.054835,0.832829
0.021,0.057765,0.82419
0.022,0.062369,0.813823
0.023,0.066974,0.806911
0.024,0.070322,0.798272
0.025,0.073671,0.789201
0.026,0.077438,0.785313
0.027,0.080368,0.779266
0.028,0.083717,0.771058
0.029,0.087484,0.765011
0.03,0.090414,0.756371
0.031,0.092089,0.748164
0.032,0.095856,0.741253
0.033,0.10046,0.732181
0.034,0.102135,0.724406
0.035,0.103391,0.715335
0.036,0.106739,0.708855
0.037,0.110506,0.703672
0.038,0.113018,0.69676
0.039,0.115948,0.689849
0.04,0.11846,0.681641
0.041,0.123064,0.67473
0.042,0.12725,0.668683
0.043,0.130599,0.662203
0.044,0.133529,0.656587
0.045,0.135622,0.649244
0.046,0.141063,0.644924
0.047,0.142738,0.637581
0.048,0.144412,0.633261
0.049,0.146086,0.628078
0.05,0.148598,0.623758
0.051,0.151109,0.620302
0.052,0.153202,0.614687
0.053,0.154877,0.610367
0.054,0.156132,0.604752
0.055,0.159062,0.600432
0.056,0.161992,0.594816
0.057,0.164085,0.589201
0.058,0.167015,0.584449
0.059,0.168271,0.58013
0.06,0.172039,0.575378
0.061,0.174969,0.56933
0.062,0.178317,0.564147
0.063,0.181666,0.559827
0.064,0.185852,0.556371
0.065,0.189201,0.552484
0.066,0.192968,0.549892
0.067,0.197154,0.548596
0.068,0.199247,0.542981
0.069,0.200084,0.538661
0.07,0.200502,0.533477
0.071,0.202595,0.530022
0.072,0.203851,0.524838
0.073,0.206362,0.521382
0.074,0.208037,0.517063
0.075,0.211804,0.512311
0.076,0.214734,0.509719
0.077,0.216409,0.507559
0.078,0.21892,0.503672
0.079,0.220176,0.49676
0.08,0.222687,0.492873
0.081,0.223943,0.490713
0.082,0.226455,0.485961
0.083,0.229385,0.48121
0.084,0.231059,0.477754
0.085,0.233152,0.475162
0.086,0.235663,0.469978
0.087,0.239431,0.466091
0.088,0.241524,0.463931
0.089,0.245291,0.460475
0.09,0.246965,0.456587
0.091,0.249058,0.453132
0.092,0.253663,0.44838
0.093,0.254918,0.447084
0.094,0.25743,0.443197
0.095,0.258267,0.439309
0.096,0.259523,0.433693
0.097,0.259941,0.431533
0.098,0.261197,0.42851
0.099,0.264127,0.425054
0.1,0.266639,0.421598
0.101,0.269987,0.419006
0.102,0.271662,0.416847
0.103,0.273336,0.414255
0.104,0.27501,0.409503
0.105,0.277103,0.407343
0.106,0.278778,0.406048
0.107,0.280871,0.4
0.108,0.282545,0.398704
0.109,0.284219,0.396976
0.11,0.285057,0.394816
0.111,0.287568,0.393089
0.112,0.289661,0.391793
0.113,0.29301,0.389633
0.114,0.295521,0.386609
0.115,0.297614,0.384881
0.116,0.297614,0.382289
0.117,0.302219,0.380562
0.118,0.303893,0.377106
0.119,0.306404,0.372786
0.12,0.308497,0.370626
0.121,0.309753,0.36933
0.122,0.312683,0.367171
0.123,0.314776,0.364579
0.124,0.31645,0.363283
0.125,0.318543,0.359395
0.126,0.321055,0.356371
0.127,0.321892,0.354212
0.128,0.323148,0.352916
0.129,0.326078,0.35162
0.13,0.326078,0.349028
0.131,0.326915,0.3473
0.132,0.328589,0.343844
0.133,0.329845,0.340821
0.134,0.333612,0.337365
0.135,0.33445,0.336069
0.136,0.335705,0.334773
0.137,0.337798,0.333909
0.138,0.341147,0.332613
0.139,0.344077,0.331317
0.14,0.344914,0.328726
0.141,0.348263,0.326998
0.142,0.349519,0.326566
0.143,0.349937,0.323974
0.144,0.350356,0.32095
0.145,0.351193,0.317927
0.146,0.352867,0.315335
0.147,0.35496,0.314471
0.148,0.355379,0.311879
0.149,0.357472,0.309719
0.15,0.359983,0.308423
0.151,0.362076,0.306695
0.152,0.362913,0.3054
0.153,0.364588,0.304104
0.154,0.365425,0.301512
0.155,0.367099,0.298488
0.156,0.367936,0.29676
0.157,0.368774,0.295896
0.158,0.370029,0.293737
0.159,0.371704,0.290281
0.16,0.372541,0.289417
0.161,0.375471,0.287689
0.162,0.376308,0.284665
0.163,0.376727,0.282073
0.164,0.377564,0.280778
0.165,0.379657,0.27905
0.166,0.381331,0.276026
0.167,0.383005,0.275162
0.168,0.384261,0.273434
0.169,0.385098,0.271706
0.17,0.386354,0.27041
0.171,0.388447,0.27041
0.172,0.389703,0.269978
0.173,0.390121,0.268251
0.174,0.39054,0.266955
0.175,0.391377,0.266091
0.176,0.393051,0.264795
0.177,0.39347,0.262635
0.178,0.394307,0.261771
0.179,0.396819,0.260043
0.18,0.398075,0.257883
0.181,0.401005,0.255724
0.182,0.403098,0.25486
0.183,0.404353,0.253132
0.184,0.406028,0.2527
0.185,0.408121,0.251836
0.186,0.411051,0.250108
0.187,0.412306,0.248812
0.188,0.413144,0.247948
0.189,0.414399,0.245356
0.19,0.414399,0.243629
0.191,0.417329,0.242333
0.192,0.418585,0.240605
0.193,0.419422,0.240605
0.194,0.420678,0.239309
0.195,0.422352,0.238013
0.196,0.423608,0.236717
0.197,0.425283,0.235421
0.198,0.42612,0.234557
0.199,0.426957,0.233261
0.2,0.427375,0.231102
0.201,0.429468,0.229806
0.202,0.431561,0.227646
0.203,0.43491,0.22635
0.204,0.436166,0.225486
0.205,0.437422,0.223758
0.206,0.438259,0.222894
0.207,0.440352,0.22203
0.208,0.441607,0.221598
0.209,0.444537,0.21987
0.21,0.445793,0.218575
0.211,0.447468,0.215551
0.212,0.44956,0.215551
0.213,0.452072,0.215119
0.214,0.454165,0.214255
0.215,0.455839,0.212527
0.216,0.457514,0.211663
0.217,0.459607,0.210799
0.218,0.461281,0.207343
0.219,0.461699,0.205616
0.22,0.462537,0.20432
0.221,0.463374,0.20216
0.222,0.46463,0.201296
0.223,0.466722,0.2
0.224,0.46756,0.199136
0.225,0.468815,0.197408
0.226,0.471746,0.197408
0.227,0.472583,0.196544
0.228,0.474257,0.19568
0.229,0.475094,0.195248
0.23,0.476769,0.193952
0.231,0.477187,0.192657
0.232,0.477606,0.190497
