Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,0.978571
0.003,0.0,0.971429
0.004,0.0,0.95
0.005,0.0,0.921429
0.006,0.0,0.907143
0.007,0.0,0.9
0.008,0.0,0.878571
0.009,0.0,0.878571
0.01,0.0,0.864286
0.011,0.0,0.807143
0.012,0.0,0.792857
0.013,0.0,0.792857
0.014,0.0,0.792857
0.015,0.0,0.778571
0.016,0.0,0.764286
0.017,0.0,0.764286
0.018,0.0,0.75
0.019,0.0,0.742857
0.02,0.0,0.728571
0.021,0.0,0.728571
0.022,0.0,0.721429
0.023,0.0,0.7
0.024,0.0,0.692857
0.025,0.0,0.692857
0.026,0.0,0.692857
0.027,0.0,0.692857
0.028,0.0,0.678571
0.029,0.0,0.678571
0.03,0.0,0.664286
0.031,0.0,0.657143
0.032,0.0,0.65
0.033,0.0,0.642857
0.034,0.0,0.642857
0.035,0.0,0.635714
0.036,0.0,0.628571
0.037,0.0,0.607143
0.038,0.0,0.585714
0.039,0.0,0.571429
0.04,0.0,0.571429
0.041,0.0,0.571429
0.042,0.0,0.564286
0.043,0.0,0.557143
0.044,0.0,0.557143
0.045,0.0,0.542857
0.046,0.0,0.528571
0.047,0.0,0.528571
0.048,0.0,0.528571
0.049,0.0,0.528571
0.05,0.0,0.528571
0.051,0.0,0.528571
0.052,0.0,0.528571
0.053,0.0,0.521429
0.054,0.0,0.521429
0.055,0.0,0.521429
0.056,0.0,0.514286
0.057,0.0,0.507143
0.058,0.0,0.5
0.059,0.0,0.5
0.06,0.0,0.5
0.061,0.0,0.492857
0.062,0.0,0.492857
0.063,0.0,0.492857
0.064,0.007143,0.492857
0.065,0.007143,0.492857
0.066,0.007143,0.492857
0.067,0.007143,0.478571
0.068,0.007143,0.464286
0.069,0.007143,0.464286
0.07,0.007143,0.457143
0.071,0.007143,0.442857
0.072,0.007143,0.435714
0.073,0.007143,0.435714
0.074,0.007143,0.435714
0.075,0.007143,0.435714
0.076,0.014286,0.435714
0.077,0.014286,0.435714
0.078,0.021429,0.435714
0.079,0.021429,0.435714
0.08,0.021429,0.435714
0.081,0.021429,0.435714
0.082,0.021429,0.428571
0.083,0.021429,0.428571
0.084,0.021429,0.428571
0.085,0.021429,0.428571
0.086,0.021429,0.428571
0.087,0.021429,0.428571
0.088,0.021429,0.421429
0.089,0.021429,0.421429
0.09,0.021429,0.421429
0.091,0.021429,0.421429
0.092,0.021429,0.421429
0.093,0.021429,0.421429
0.094,0.021429,0.414286
0.095,0.021429,0.414286
0.096,0.021429,0.407143
0.097,0.021429,0.407143
0.098,0.021429,0.407143
0.099,0.021429,0.4
0.1,0.021429,0.385714
0.101,0.021429,0.385714
0.102,0.021429,0.385714
0.103,0.021429,0.385714
0.104,0.021429,0.371429
0.105,0.021429,0.371429
0.106,0.021429,0.364286
0.107,0.021429,0.364286
0.108,0.021429,0.364286
0.109,0.021429,0.357143
0.11,0.021429,0.357143
0.111,0.021429,0.357143
0.112,0.021429,0.357143
0.113,0.021429,0.35
0.114,0.021429,0.342857
0.115,0.021429,0.342857
0.116,0.021429,0.335714
0.117,0.021429,0.335714
0.118,0.021429,0.328571
0.119,0.021429,0.328571
0.12,0.021429,0.328571
0.121,0.021429,0.328571
0.122,0.021429,0.328571
0.123,0.021429,0.321429
0.124,0.021429,0.321429
0.125,0.028571,0.314286
0.126,0.028571,0.314286
0.127,0.028571,0.314286
0.128,0.028571,0.314286
0.129,0.028571,0.314286
0.13,0.028571,0.3
0.131,0.028571,0.3
0.132,0.028571,0.3
0.133,0.028571,0.3
0.134,0.028571,0.3
0.135,0.028571,0.3
0.136,0.028571,0.292857
0.137,0.028571,0.292857
0.138,0.028571,0.292857
0.139,0.028571,0.285714
0.14,0.028571,0.285714
0.141,0.028571,0.285714
0.142,0.028571,0.285714
0.143,0.028571,0.285714
0.144,0.028571,0.285714
0.145,0.028571,0.285714
0.146,0.028571,0.285714
0.147,0.035714,0.285714
0.148,0.035714,0.285714
0.149,0.035714,0.285714
0.15,0.035714,0.285714
0.151,0.035714,0.271429
0.152,0.035714,0.264286
0.153,0.035714,0.264286
0.154,0.035714,0.264286
0.155,0.035714,0.264286
0.156,0.035714,0.264286
0.157,0.035714,0.264286
0.158,0.035714,0.264286
0.159,0.035714,0.264286
0.16,0.035714,0.264286
0.161,0.035714,0.264286
0.162,0.035714,0.257143
0.163,0.035714,0.257143
0.164,0.042857,0.257143
0.165,0.042857,0.25
0.166,0.042857,0.25
0.167,0.042857,0.242857
0.168,0.042857,0.242857
0.169,0.042857,0.242857
0.17,0.042857,0.242857
0.171,0.042857,0.235714
0.172,0.042857,0.235714
0.173,0.042857,0.235714
0.174,0.042857,0.235714
0.175,0.042857,0.235714
0.176,0.042857,0.235714
0.177,0.042857,0.235714
0.178,0.042857,0.235714
0.179,0.042857,0.221429
0.18,0.05,0.221429
0.181,0.05,0.214286
0.182,0.05,0.214286
0.183,0.05,0.214286
0.184,0.05,0.214286
0.185,0.05,0.214286
0.186,0.05,0.214286
0.187,0.05,0.214286
0.188,0.05,0.214286
0.189,0.05,0.214286
