Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,1.0
0.003,0.0,1.0
0.004,0.0,1.0
0.005,0.0,1.0
0.006,0.0,1.0
0.007,0.0,0.99962
0.008,0.0,0.998861
0.009,0.0,0.998101
0.01,0.0,0.997341
0.011,0.0,0.994303
0.012,0.0,0.993164
0.013,0.000304,0.990125
0.014,0.000608,0.985188
0.015,0.000912,0.983669
0.016,0.001824,0.979491
0.017,0.001824,0.973414
0.018,0.001824,0.968857
0.019,0.001824,0.966198
0.02,0.001824,0.961261
0.021,0.002128,0.957083
0.022,0.002128,0.955944
0.023,0.002128,0.954045
0.024,0.002432,0.951766
0.025,0.002736,0.948348
0.026,0.002736,0.946829
0.027,0.00304,0.94493
0.028,0.00304,0.94379
0.029,0.003649,0.940372
0.03,0.003953,0.938093
0.031,0.004257,0.934675
0.032,0.004257,0.931257
0.033,0.004561,0.9267
0.034,0.005473,0.924421
0.035,0.005777,0.922902
0.036,0.006993,0.921003
0.037,0.007297,0.917585
0.038,0.007297,0.914166
0.039,0.007297,0.913407
0.04,0.007601,0.909989
0.041,0.008513,0.908469
0.042,0.008513,0.905051
0.043,0.009425,0.901253
0.044,0.010033,0.898975
0.045,0.010033,0.898595
0.046,0.010033,0.896316
0.047,0.010337,0.892898
0.048,0.010946,0.890999
0.049,0.010946,0.88948
0.05,0.010946,0.887581
0.051,0.011858,0.885302
0.052,0.012162,0.883403
0.053,0.012466,0.881504
0.054,0.012466,0.880365
0.055,0.012466,0.878845
0.056,0.01277,0.877706
0.057,0.013074,0.875427
0.058,0.013074,0.873148
0.059,0.013378,0.872389
0.06,0.013682,0.871629
0.061,0.013682,0.87049
0.062,0.013682,0.868211
0.063,0.01429,0.866692
0.064,0.014594,0.864793
0.065,0.014898,0.863274
0.066,0.015202,0.860235
0.067,0.015202,0.859856
0.068,0.015202,0.859096
0.069,0.01581,0.856058
0.07,0.016418,0.854159
0.071,0.016722,0.85188
0.072,0.017026,0.849601
0.073,0.017635,0.849221
0.074,0.017939,0.848462
0.075,0.018547,0.846563
0.076,0.018547,0.844664
0.077,0.018547,0.843524
0.078,0.019155,0.841626
0.079,0.019763,0.839727
0.08,0.020067,0.837068
0.081,0.020675,0.835929
0.082,0.021891,0.83403
0.083,0.022195,0.83403
0.084,0.022195,0.83289
0.085,0.022803,0.831751
0.086,0.023411,0.829852
0.087,0.024019,0.829092
0.088,0.024019,0.827573
0.089,0.024019,0.825294
0.09,0.024324,0.823395
0.091,0.024628,0.822636
0.092,0.025236,0.821876
0.093,0.02554,0.820357
0.094,0.026148,0.817698
0.095,0.026756,0.816179
0.096,0.02706,0.81504
0.097,0.02706,0.81504
0.098,0.027364,0.8139
0.099,0.027972,0.812002
0.1,0.02858,0.810482
0.101,0.02858,0.808583
0.102,0.02858,0.807824
0.103,0.029492,0.806684
0.104,0.0301,0.805545
0.105,0.0301,0.804406
0.106,0.031012,0.803266
0.107,0.031317,0.801747
0.108,0.031925,0.799468
0.109,0.031925,0.798709
0.11,0.032229,0.797949
0.111,0.032533,0.79605
0.112,0.032533,0.794531
0.113,0.032533,0.793012
0.114,0.032837,0.791493
0.115,0.032837,0.789973
0.116,0.032837,0.787695
0.117,0.032837,0.786555
0.118,0.032837,0.784656
0.119,0.033445,0.783137
0.12,0.033445,0.780479
0.121,0.034053,0.779719
0.122,0.034357,0.778959
0.123,0.035269,0.7782
0.124,0.035877,0.77744
0.125,0.035877,0.77706
0.126,0.036789,0.775921
0.127,0.038005,0.774782
0.128,0.038005,0.773642
0.129,0.038614,0.772503
0.13,0.039222,0.771743
0.131,0.039526,0.770984
0.132,0.039526,0.769844
0.133,0.040438,0.767945
0.134,0.040742,0.765667
0.135,0.041046,0.764907
0.136,0.041046,0.763388
0.137,0.041046,0.762248
0.138,0.04135,0.760729
0.139,0.04135,0.75959
0.14,0.041958,0.75845
0.141,0.042566,0.756931
0.142,0.042566,0.755412
0.143,0.043478,0.753893
0.144,0.044998,0.751994
0.145,0.044998,0.751234
0.146,0.044998,0.749335
0.147,0.045303,0.749335
0.148,0.045607,0.747816
0.149,0.045607,0.746297
0.15,0.045607,0.745917
0.151,0.045911,0.744398
0.152,0.046519,0.742879
0.153,0.047431,0.741739
0.154,0.048343,0.7406
0.155,0.048647,0.739461
0.156,0.049863,0.737942
0.157,0.050471,0.735283
0.158,0.050775,0.733764
0.159,0.050775,0.732624
0.16,0.050775,0.731865
0.161,0.050775,0.729966
0.162,0.051079,0.727307
0.163,0.051079,0.726548
0.164,0.051383,0.725788
0.165,0.052296,0.723889
0.166,0.0526,0.72275
0.167,0.052904,0.721231
0.168,0.053208,0.720471
0.169,0.053512,0.718192
0.17,0.05412,0.717053
0.171,0.054424,0.715154
0.172,0.055032,0.713635
0.173,0.055944,0.710976
0.174,0.056248,0.709457
0.175,0.056248,0.707558
0.176,0.056248,0.706419
0.177,0.057464,0.705279
0.178,0.057464,0.70452
0.179,0.057464,0.703
0.18,0.057464,0.701861
0.181,0.058072,0.699202
0.182,0.058984,0.698063
0.183,0.059897,0.697683
0.184,0.059897,0.696164
0.185,0.060809,0.694265
0.186,0.061417,0.693506
0.187,0.062025,0.691986
0.188,0.062633,0.691227
0.189,0.062937,0.690467
0.19,0.063241,0.690087
0.191,0.063241,0.687809
0.192,0.063849,0.686669
0.193,0.064457,0.686289
0.194,0.065065,0.68439
0.195,0.065673,0.683631
0.196,0.066282,0.682871
0.197,0.066282,0.682112
0.198,0.06689,0.680972
0.199,0.06689,0.680213
0.2,0.067498,0.679453
0.201,0.067802,0.677554
0.202,0.067802,0.676795
0.203,0.06841,0.675655
0.204,0.069626,0.675275
0.205,0.070234,0.672617
0.206,0.071146,0.671098
0.207,0.07145,0.669578
0.208,0.072058,0.668439
0.209,0.072362,0.6673
0.21,0.072362,0.665021
0.211,0.072666,0.664641
0.212,0.072971,0.663122
0.213,0.072971,0.663122
0.214,0.073579,0.661603
0.215,0.073579,0.659324
0.216,0.073579,0.657805
0.217,0.073883,0.656665
0.218,0.073883,0.655906
0.219,0.074491,0.654007
0.22,0.075099,0.652488
0.221,0.076011,0.651348
0.222,0.076619,0.649829
0.223,0.077531,0.649829
0.224,0.077531,0.64793
0.225,0.078139,0.646031
0.226,0.078139,0.644512
0.227,0.078443,0.643373
0.228,0.079355,0.641853
0.229,0.079659,0.641474
0.23,0.080268,0.641474
0.231,0.080268,0.641094
0.232,0.08118,0.640334
0.233,0.081484,0.639575
0.234,0.081788,0.637296
0.235,0.082092,0.635777
0.236,0.083004,0.635397
0.237,0.083308,0.633878
0.238,0.083916,0.632738
0.239,0.084524,0.632359
0.24,0.085132,0.631219
0.241,0.086044,0.62894
0.242,0.086348,0.628561
0.243,0.086652,0.627421
0.244,0.086957,0.624383
0.245,0.088173,0.623623
0.246,0.088173,0.620965
0.247,0.089085,0.620205
0.248,0.089997,0.620205
0.249,0.091517,0.618686
0.25,0.091821,0.617926
0.251,0.092125,0.617547
0.252,0.092125,0.615268
0.253,0.092429,0.614128
0.254,0.093037,0.613749
0.255,0.093037,0.613749
0.256,0.093341,0.613369
0.257,0.094558,0.61147
0.258,0.095166,0.609951
0.259,0.095774,0.608052
0.26,0.096382,0.608052
0.261,0.096686,0.605013
0.262,0.097902,0.604254
0.263,0.098206,0.603874
0.264,0.09851,0.602735
0.265,0.099422,0.601975
0.266,0.100334,0.600456
0.267,0.100943,0.598937
0.268,0.101247,0.598557
0.269,0.101551,0.596278
0.27,0.101551,0.593999
0.271,0.101855,0.59248
0.272,0.103375,0.591341
0.273,0.103375,0.590201
0.274,0.103679,0.588302
0.275,0.103983,0.586403
0.276,0.103983,0.584504
0.277,0.104287,0.584125
0.278,0.104895,0.583365
0.279,0.105503,0.582605
0.28,0.106111,0.581846
0.281,0.106415,0.580327
0.282,0.106719,0.579567
0.283,0.107327,0.579187
0.284,0.107327,0.578048
0.285,0.107631,0.576908
0.286,0.107631,0.575389
0.287,0.108544,0.57387
0.288,0.110064,0.571971
0.289,0.110672,0.570452
0.29,0.110976,0.569692
0.291,0.111888,0.569692
0.292,0.112192,0.568553
0.293,0.112192,0.568173
0.294,0.1128,0.566654
0.295,0.113408,0.565135
0.296,0.11432,0.563236
0.297,0.114929,0.563236
0.298,0.114929,0.562096
0.299,0.114929,0.560577
0.3,0.114929,0.560197
0.301,0.116145,0.559438
0.302,0.117057,0.558678
0.303,0.117361,0.558299
0.304,0.117361,0.556779
0.305,0.117969,0.554501
0.306,0.117969,0.553361
0.307,0.118881,0.552602
0.308,0.118881,0.552222
0.309,0.118881,0.550323
0.31,0.119489,0.548804
0.311,0.120097,0.548424
0.312,0.120401,0.547284
0.313,0.121313,0.544246
0.314,0.12253,0.543107
0.315,0.122834,0.542347
0.316,0.123746,0.541588
0.317,0.124354,0.540828
0.318,0.124962,0.540448
0.319,0.125266,0.540068
0.32,0.125874,0.540068
0.321,0.126482,0.539689
0.322,0.126786,0.538169
0.323,0.127698,0.53665
0.324,0.128306,0.53627
0.325,0.128611,0.533992
0.326,0.129219,0.533232
0.327,0.129523,0.532852
0.328,0.130739,0.532852
0.329,0.131043,0.532472
