Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,1.0
0.003,0.0,1.0
0.004,0.0,1.0
0.005,0.0,1.0
0.006,0.0,1.0
0.007,0.0,0.999568
0.008,0.0,0.999136
0.009,0.0,0.998272
0.01,0.0,0.99784
0.011,0.0,0.994816
0.012,0.0,0.993521
0.013,0.000419,0.990497
0.014,0.000837,0.986177
0.015,0.001256,0.984881
0.016,0.002512,0.98013
0.017,0.002512,0.974082
0.018,0.002512,0.969762
0.019,0.002512,0.966739
0.02,0.002512,0.961987
0.021,0.002512,0.957667
0.022,0.002512,0.956371
0.023,0.002512,0.954644
0.024,0.00293,0.952916
0.025,0.003349,0.94946
0.026,0.003349,0.947732
0.027,0.003767,0.945572
0.028,0.003767,0.944276
0.029,0.004604,0.941253
0.03,0.005023,0.939093
0.031,0.005442,0.935637
0.032,0.005442,0.932181
0.033,0.00586,0.926998
0.034,0.007116,0.924406
0.035,0.007535,0.922678
0.036,0.009209,0.92095
0.037,0.009627,0.917495
0.038,0.009627,0.914039
0.039,0.009627,0.913607
0.04,0.010046,0.911015
0.041,0.011302,0.909287
0.042,0.011302,0.905832
0.043,0.012139,0.901512
0.044,0.012976,0.899352
0.045,0.012976,0.89892
0.046,0.012976,0.89676
0.047,0.013395,0.893737
0.048,0.014232,0.891577
0.049,0.014232,0.890713
0.05,0.014232,0.889417
0.051,0.015069,0.887257
0.052,0.015488,0.885097
0.053,0.015906,0.882937
0.054,0.015906,0.881641
0.055,0.015906,0.879914
0.056,0.016325,0.878618
0.057,0.016743,0.876458
0.058,0.016743,0.87473
0.059,0.017162,0.873866
0.06,0.017581,0.873002
0.061,0.017581,0.871706
0.062,0.017581,0.869546
0.063,0.018418,0.867819
0.064,0.018418,0.865659
0.065,0.018836,0.863931
0.066,0.019255,0.860907
0.067,0.019255,0.860475
0.068,0.019255,0.859611
0.069,0.020092,0.857019
0.07,0.020929,0.85486
0.071,0.021348,0.8527
0.072,0.021766,0.85054
0.073,0.022604,0.850108
0.074,0.023022,0.849244
0.075,0.023859,0.847516
0.076,0.023859,0.845356
0.077,0.023859,0.844492
0.078,0.024697,0.842765
0.079,0.025534,0.840605
0.08,0.025952,0.838013
0.081,0.026789,0.837149
0.082,0.028045,0.834989
0.083,0.028464,0.834989
0.084,0.028464,0.834125
0.085,0.029301,0.833261
0.086,0.030138,0.831102
0.087,0.030975,0.830238
0.088,0.030975,0.82851
0.089,0.030975,0.825918
0.09,0.031394,0.82419
0.091,0.031812,0.82419
0.092,0.03265,0.823326
0.093,0.033068,0.821598
0.094,0.033905,0.819006
0.095,0.034743,0.818143
0.096,0.035161,0.817279
0.097,0.035161,0.817279
0.098,0.03558,0.816847
0.099,0.035998,0.814687
0.1,0.036417,0.813391
0.101,0.036417,0.811231
0.102,0.036417,0.810367
0.103,0.037673,0.809503
0.104,0.03851,0.808207
0.105,0.03851,0.806911
0.106,0.039766,0.805616
0.107,0.040184,0.80432
0.108,0.040603,0.802592
0.109,0.040603,0.801728
0.11,0.041021,0.801728
0.111,0.04144,0.799568
0.112,0.04144,0.79784
0.113,0.04144,0.796976
0.114,0.041859,0.795248
0.115,0.041859,0.793952
0.116,0.041859,0.792225
0.117,0.041859,0.790929
0.118,0.041859,0.789201
0.119,0.042696,0.788769
0.12,0.042696,0.786177
0.121,0.043114,0.785313
0.122,0.043533,0.784449
0.123,0.044789,0.783585
0.124,0.045626,0.782721
0.125,0.045626,0.782289
0.126,0.046882,0.781857
0.127,0.048556,0.780562
0.128,0.048556,0.779698
0.129,0.048974,0.778834
0.13,0.049812,0.77797
0.131,0.05023,0.777538
0.132,0.05023,0.776242
0.133,0.051486,0.774946
0.134,0.051905,0.772354
0.135,0.052323,0.77149
0.136,0.052323,0.769762
0.137,0.052323,0.768467
0.138,0.052742,0.767171
0.139,0.052742,0.765875
0.14,0.053579,0.764579
0.141,0.054416,0.762851
0.142,0.054416,0.761987
0.143,0.055672,0.760259
0.144,0.057765,0.758963
0.145,0.057765,0.758099
0.146,0.057765,0.756803
0.147,0.058183,0.756803
0.148,0.058602,0.75594
0.149,0.058602,0.754212
0.15,0.058602,0.75378
0.151,0.059021,0.752484
0.152,0.059439,0.751188
0.153,0.060276,0.750756
0.154,0.061113,0.74946
0.155,0.061532,0.748164
0.156,0.062788,0.746436
0.157,0.063625,0.743844
0.158,0.064044,0.742549
0.159,0.064044,0.741685
0.16,0.064044,0.740821
0.161,0.064044,0.739093
0.162,0.064462,0.736501
0.163,0.064462,0.735637
0.164,0.064881,0.734773
0.165,0.066136,0.733045
0.166,0.066555,0.732181
0.167,0.066974,0.730454
0.168,0.067392,0.730022
0.169,0.067811,0.72743
0.17,0.068648,0.726134
0.171,0.069067,0.724838
0.172,0.069904,0.723974
0.173,0.070741,0.72095
0.174,0.071159,0.719222
0.175,0.071159,0.717927
0.176,0.071159,0.717063
0.177,0.072834,0.715767
0.178,0.072834,0.714903
0.179,0.072834,0.713175
0.18,0.072834,0.711879
0.181,0.073671,0.708855
0.182,0.074927,0.707991
0.183,0.076183,0.707991
0.184,0.076183,0.706263
0.185,0.077438,0.704536
0.186,0.077857,0.704104
0.187,0.078694,0.702376
0.188,0.079531,0.701512
0.189,0.07995,0.700648
0.19,0.080368,0.700216
0.191,0.080368,0.698488
0.192,0.081206,0.697192
0.193,0.082043,0.69676
0.194,0.082461,0.695032
0.195,0.08288,0.694168
0.196,0.083717,0.693737
0.197,0.083717,0.692873
0.198,0.084136,0.691577
0.199,0.084136,0.690713
0.2,0.084973,0.689849
0.201,0.085391,0.688553
0.202,0.085391,0.687689
0.203,0.086229,0.686825
0.204,0.087484,0.686393
0.205,0.088321,0.684233
0.206,0.08874,0.682937
0.207,0.089159,0.68121
0.208,0.089996,0.680346
0.209,0.090414,0.67905
0.21,0.090414,0.67689
0.211,0.090833,0.67689
0.212,0.091252,0.675162
0.213,0.091252,0.675162
0.214,0.092089,0.673434
0.215,0.092089,0.671274
0.216,0.092089,0.669546
0.217,0.092507,0.668683
0.218,0.092507,0.668251
0.219,0.092926,0.666523
0.22,0.093763,0.664795
0.221,0.0946,0.664363
0.222,0.095437,0.662635
0.223,0.096693,0.662635
0.224,0.096693,0.660907
0.225,0.09753,0.659179
0.226,0.09753,0.658315
0.227,0.097949,0.657883
0.228,0.098786,0.656156
0.229,0.099205,0.655724
0.23,0.100042,0.655724
0.231,0.100042,0.655292
0.232,0.100879,0.654428
0.233,0.101298,0.653996
0.234,0.101716,0.651836
0.235,0.102135,0.650108
0.236,0.103391,0.649676
0.237,0.103391,0.64838
0.238,0.104228,0.647084
0.239,0.105065,0.646652
0.24,0.105483,0.645356
0.241,0.106739,0.642765
0.242,0.106739,0.642333
0.243,0.107158,0.641037
0.244,0.107576,0.638013
0.245,0.108832,0.637149
0.246,0.108832,0.634989
0.247,0.109669,0.634125
0.248,0.110506,0.634125
0.249,0.111344,0.632397
0.25,0.111762,0.631533
0.251,0.112181,0.631102
0.252,0.112181,0.62851
0.253,0.112181,0.627214
0.254,0.113018,0.626782
0.255,0.113018,0.626782
0.256,0.113437,0.62635
0.257,0.115111,0.625486
0.258,0.115111,0.623758
0.259,0.11553,0.62203
0.26,0.116367,0.62203
0.261,0.116785,0.619438
0.262,0.118041,0.618575
0.263,0.11846,0.618575
0.264,0.11846,0.617279
0.265,0.119715,0.616415
0.266,0.120971,0.614687
0.267,0.12139,0.612959
0.268,0.121808,0.612527
0.269,0.122227,0.610367
0.27,0.122227,0.607775
0.271,0.122645,0.606048
0.272,0.12432,0.604752
0.273,0.12432,0.603456
0.274,0.124738,0.601296
0.275,0.125157,0.599136
0.276,0.125157,0.596976
0.277,0.125576,0.596544
0.278,0.126413,0.59568
0.279,0.126831,0.594816
0.28,0.127668,0.593952
0.281,0.127668,0.592225
0.282,0.128087,0.591793
0.283,0.128924,0.591361
0.284,0.128924,0.590065
0.285,0.129343,0.589201
0.286,0.129343,0.587473
0.287,0.129761,0.586177
0.288,0.131854,0.584449
0.289,0.132273,0.582721
0.29,0.132692,0.581857
0.291,0.133947,0.581857
0.292,0.134366,0.580994
0.293,0.134366,0.580562
0.294,0.134784,0.579266
0.295,0.135622,0.57797
0.296,0.136877,0.576242
0.297,0.137715,0.576242
0.298,0.137715,0.574946
0.299,0.137715,0.573218
0.3,0.137715,0.572786
0.301,0.138552,0.571922
0.302,0.139807,0.571058
0.303,0.140226,0.570626
0.304,0.140226,0.568898
0.305,0.141063,0.566739
0.306,0.141063,0.565443
0.307,0.1419,0.564579
0.308,0.1419,0.564147
0.309,0.1419,0.562419
0.31,0.142738,0.560691
0.311,0.143575,0.560259
0.312,0.143575,0.558963
0.313,0.14483,0.55594
0.314,0.146505,0.555076
0.315,0.146923,0.554212
0.316,0.147761,0.553348
0.317,0.148598,0.552484
0.318,0.149435,0.552052
0.319,0.149853,0.55162
0.32,0.150691,0.55162
0.321,0.151528,0.551188
0.322,0.151946,0.54946
0.323,0.152784,0.547732
0.324,0.153621,0.5473
0.325,0.154039,0.544708
0.326,0.154877,0.543844
0.327,0.155295,0.543413
0.328,0.156132,0.543413
0.329,0.156551,0.542981
