Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,0.99962
0.003,0.0,0.99962
0.004,0.0,0.99962
0.005,0.0,0.99962
0.006,0.0,0.99962
0.007,0.0,0.99962
0.008,0.0,0.99924
0.009,0.0,0.99924
0.01,0.0,0.99924
0.011,0.0,0.99924
0.012,0.0,0.99924
0.013,0.0,0.99924
0.014,0.0,0.99924
0.015,0.0,0.99924
0.016,0.0,0.99924
0.017,0.0,0.998481
0.018,0.0,0.998481
0.019,0.0,0.998101
0.02,0.0,0.996582
0.021,0.0,0.995822
0.022,0.0,0.995822
0.023,0.0,0.995822
0.024,0.0,0.995822
0.025,0.0,0.995822
0.026,0.0,0.995822
0.027,0.0,0.995063
0.028,0.0,0.995063
0.029,0.0,0.995063
0.03,0.0,0.995063
0.031,0.0,0.994683
0.032,0.0,0.994683
0.033,0.0,0.994303
0.034,0.0,0.994303
0.035,0.0,0.993923
0.036,0.0,0.993543
0.037,0.0,0.992404
0.038,0.0,0.992404
0.039,0.0,0.992404
0.04,0.0,0.991645
0.041,0.000304,0.990125
0.042,0.000304,0.990125
0.043,0.000304,0.990125
0.044,0.000304,0.988986
0.045,0.000304,0.987847
0.046,0.000304,0.987847
0.047,0.000304,0.987467
0.048,0.000304,0.985188
0.049,0.000304,0.983669
0.05,0.000304,0.982529
0.051,0.000304,0.98177
0.052,0.000304,0.98063
0.053,0.000608,0.980251
0.054,0.000608,0.979491
0.055,0.000608,0.979111
0.056,0.000608,0.978352
0.057,0.000912,0.976833
0.058,0.000912,0.976453
0.059,0.000912,0.975313
0.06,0.000912,0.974174
0.061,0.001216,0.973035
0.062,0.001216,0.971895
0.063,0.001216,0.971136
0.064,0.001216,0.969996
0.065,0.001216,0.968857
0.066,0.001216,0.968477
0.067,0.00152,0.968097
0.068,0.00152,0.967338
0.069,0.001824,0.966198
0.07,0.001824,0.965059
0.071,0.001824,0.964299
0.072,0.001824,0.96278
0.073,0.002432,0.961641
0.074,0.002432,0.961261
0.075,0.002432,0.959742
0.076,0.002432,0.958982
0.077,0.002432,0.958223
0.078,0.002432,0.955944
0.079,0.002432,0.954804
0.08,0.002736,0.954425
0.081,0.002736,0.953665
0.082,0.003344,0.952526
0.083,0.003344,0.952146
0.084,0.003344,0.951006
0.085,0.003344,0.949867
0.086,0.003344,0.949487
0.087,0.003649,0.948728
0.088,0.003649,0.947209
0.089,0.003649,0.946069
0.09,0.003649,0.945689
0.091,0.003649,0.94531
0.092,0.003649,0.94417
0.093,0.003649,0.943411
0.094,0.003649,0.942271
0.095,0.003649,0.941512
0.096,0.003649,0.939613
0.097,0.003649,0.938853
0.098,0.003649,0.938473
0.099,0.003649,0.937714
0.1,0.003953,0.937334
0.101,0.004561,0.936574
0.102,0.004561,0.934675
0.103,0.005169,0.933536
0.104,0.005169,0.932397
0.105,0.005169,0.930118
0.106,0.005473,0.928978
0.107,0.005473,0.928978
0.108,0.005473,0.92632
0.109,0.005473,0.92518
0.11,0.005473,0.922902
0.111,0.006385,0.922522
0.112,0.006385,0.921382
0.113,0.006385,0.919483
0.114,0.006689,0.917964
0.115,0.006689,0.916065
0.116,0.006993,0.916065
0.117,0.007297,0.915686
0.118,0.007601,0.914546
0.119,0.007601,0.913407
0.12,0.007601,0.911888
0.121,0.007601,0.910748
0.122,0.007601,0.908849
0.123,0.007601,0.90771
0.124,0.007601,0.90771
0.125,0.007601,0.90733
0.126,0.007601,0.90657
0.127,0.007601,0.905051
0.128,0.007601,0.903532
0.129,0.007601,0.902393
0.13,0.007601,0.900874
0.131,0.007601,0.899354
0.132,0.007905,0.898975
0.133,0.008817,0.897076
0.134,0.008817,0.895936
0.135,0.008817,0.895177
0.136,0.009121,0.894797
0.137,0.009729,0.892898
0.138,0.010033,0.892138
0.139,0.010033,0.891379
0.14,0.010033,0.890619
0.141,0.010642,0.88948
0.142,0.010642,0.887961
0.143,0.010946,0.886821
0.144,0.01125,0.885682
0.145,0.011554,0.885302
0.146,0.011858,0.884542
0.147,0.012162,0.884163
0.148,0.012466,0.883403
0.149,0.013074,0.882264
0.15,0.013074,0.881124
0.151,0.013378,0.880744
0.152,0.013682,0.879605
0.153,0.01429,0.879225
0.154,0.014594,0.878845
0.155,0.014594,0.877326
0.156,0.014898,0.876567
0.157,0.015202,0.876187
0.158,0.015202,0.874668
0.159,0.015506,0.873908
0.16,0.015506,0.873148
0.161,0.01581,0.872389
0.162,0.016114,0.872009
0.163,0.016114,0.87125
0.164,0.016114,0.87049
0.165,0.016418,0.869351
0.166,0.016418,0.868211
0.167,0.016722,0.867452
0.168,0.016722,0.866312
0.169,0.016722,0.865932
0.17,0.017026,0.864793
0.171,0.01733,0.861375
0.172,0.01733,0.860235
0.173,0.017635,0.858716
0.174,0.017939,0.857197
0.175,0.017939,0.854539
0.176,0.018243,0.853019
0.177,0.018851,0.8515
0.178,0.018851,0.849981
0.179,0.019155,0.848462
0.18,0.019155,0.847702
0.181,0.019459,0.846183
0.182,0.019763,0.843904
0.183,0.020067,0.842765
0.184,0.020371,0.841626
0.185,0.020675,0.840486
0.186,0.020675,0.839347
0.187,0.020675,0.837068
0.188,0.020675,0.836688
0.189,0.020675,0.835169
0.19,0.020675,0.834409
0.191,0.021283,0.83403
0.192,0.022195,0.83365
0.193,0.022803,0.831751
0.194,0.023107,0.829472
0.195,0.023411,0.827953
0.196,0.023715,0.825674
0.197,0.024628,0.824155
0.198,0.025236,0.823775
0.199,0.02554,0.822256
0.2,0.026148,0.821496
0.201,0.026148,0.821117
0.202,0.026148,0.820357
0.203,0.026756,0.819218
0.204,0.026756,0.819218
0.205,0.02706,0.816939
0.206,0.027364,0.816179
0.207,0.027668,0.81466
0.208,0.028276,0.81428
0.209,0.029188,0.812761
0.21,0.029492,0.812002
0.211,0.030404,0.809723
0.212,0.031317,0.808583
0.213,0.031925,0.807064
0.214,0.033141,0.805165
0.215,0.033445,0.804785
0.216,0.033749,0.802886
0.217,0.034053,0.800987
0.218,0.034357,0.799468
0.219,0.034661,0.79719
0.22,0.034965,0.79681
0.221,0.035269,0.79605
0.222,0.035573,0.794151
0.223,0.035877,0.793012
0.224,0.035877,0.789973
0.225,0.035877,0.788454
0.226,0.035877,0.786555
0.227,0.036789,0.785036
0.228,0.037093,0.783137
0.229,0.038005,0.782378
0.23,0.03831,0.781238
0.231,0.038614,0.779339
0.232,0.038614,0.77782
0.233,0.038614,0.776301
0.234,0.038614,0.774782
0.235,0.039222,0.774022
0.236,0.040742,0.773262
0.237,0.041046,0.772503
0.238,0.04135,0.770604
0.239,0.04135,0.769464
0.24,0.04135,0.767566
0.241,0.04135,0.766046
0.242,0.041958,0.763008
0.243,0.041958,0.761109
0.244,0.041958,0.75959
