Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,1.0
0.003,0.0,1.0
0.004,0.0,1.0
0.005,0.0,1.0
0.006,0.0,1.0
0.007,0.0,1.0
0.008,0.0,1.0
0.009,0.0,1.0
0.01,0.0,1.0
0.011,0.0,1.0
0.012,0.0,1.0
0.013,0.0,0.994382
0.014,0.0,0.983146
0.015,0.0,0.977528
0.016,0.0,0.977528
0.017,0.0,0.966292
0.018,0.0,0.966292
0.019,0.0,0.966292
0.02,0.0,0.966292
0.021,0.0,0.960674
0.022,0.0,0.960674
0.023,0.0,0.960674
0.024,0.0,0.955056
0.025,0.0,0.955056
0.026,0.0,0.955056
0.027,0.0,0.955056
0.028,0.0,0.955056
0.029,0.0,0.94382
0.03,0.0,0.938202
0.031,0.0,0.938202
0.032,0.0,0.938202
0.033,0.0,0.938202
0.034,0.0,0.938202
0.035,0.0,0.938202
0.036,0.0,0.938202
0.037,0.0,0.932584
0.038,0.0,0.932584
0.039,0.0,0.932584
0.04,0.0,0.926966
0.041,0.0,0.926966
0.042,0.0,0.926966
0.043,0.002941,0.926966
0.044,0.002941,0.921348
0.045,0.002941,0.921348
0.046,0.002941,0.921348
0.047,0.002941,0.91573
0.048,0.002941,0.91573
0.049,0.002941,0.91573
0.05,0.002941,0.910112
0.051,0.002941,0.910112
0.052,0.002941,0.910112
0.053,0.002941,0.910112
0.054,0.002941,0.910112
0.055,0.002941,0.910112
0.056,0.002941,0.910112
0.057,0.002941,0.910112
0.058,0.002941,0.904494
0.059,0.002941,0.904494
0.06,0.002941,0.904494
0.061,0.002941,0.904494
0.062,0.002941,0.904494
0.063,0.002941,0.904494
0.064,0.005882,0.904494
0.065,0.005882,0.904494
0.066,0.005882,0.904494
0.067,0.005882,0.904494
0.068,0.005882,0.904494
0.069,0.005882,0.904494
0.07,0.005882,0.904494
0.071,0.005882,0.898876
0.072,0.005882,0.893258
0.073,0.005882,0.893258
0.074,0.005882,0.893258
0.075,0.005882,0.88764
0.076,0.005882,0.88764
0.077,0.005882,0.882022
0.078,0.005882,0.876404
0.079,0.005882,0.876404
0.08,0.005882,0.876404
0.081,0.005882,0.870787
0.082,0.008824,0.870787
0.083,0.008824,0.870787
0.084,0.008824,0.865169
0.085,0.008824,0.859551
0.086,0.008824,0.859551
0.087,0.008824,0.859551
0.088,0.008824,0.859551
0.089,0.008824,0.859551
0.09,0.008824,0.853933
0.091,0.008824,0.842697
0.092,0.008824,0.842697
0.093,0.008824,0.842697
0.094,0.008824,0.842697
0.095,0.008824,0.837079
0.096,0.008824,0.831461
0.097,0.008824,0.831461
0.098,0.008824,0.825843
0.099,0.011765,0.825843
0.1,0.014706,0.820225
0.101,0.014706,0.820225
0.102,0.014706,0.820225
0.103,0.014706,0.820225
0.104,0.014706,0.820225
0.105,0.014706,0.820225
0.106,0.014706,0.820225
0.107,0.014706,0.814607
0.108,0.017647,0.808989
0.109,0.017647,0.808989
0.11,0.017647,0.803371
0.111,0.017647,0.803371
0.112,0.017647,0.803371
0.113,0.017647,0.797753
0.114,0.017647,0.797753
0.115,0.017647,0.792135
0.116,0.017647,0.780899
0.117,0.017647,0.780899
0.118,0.017647,0.780899
0.119,0.017647,0.769663
0.12,0.017647,0.769663
0.121,0.020588,0.769663
0.122,0.020588,0.769663
0.123,0.020588,0.769663
0.124,0.020588,0.769663
0.125,0.020588,0.769663
0.126,0.020588,0.758427
0.127,0.020588,0.758427
0.128,0.020588,0.758427
0.129,0.023529,0.758427
0.13,0.023529,0.758427
0.131,0.023529,0.752809
0.132,0.023529,0.752809
0.133,0.023529,0.741573
0.134,0.023529,0.741573
0.135,0.023529,0.741573
0.136,0.023529,0.741573
0.137,0.023529,0.741573
0.138,0.023529,0.741573
0.139,0.023529,0.741573
0.14,0.023529,0.741573
0.141,0.023529,0.741573
0.142,0.023529,0.741573
0.143,0.023529,0.741573
0.144,0.023529,0.730337
0.145,0.023529,0.730337
0.146,0.023529,0.724719
0.147,0.023529,0.724719
0.148,0.023529,0.719101
0.149,0.023529,0.719101
0.15,0.023529,0.719101
0.151,0.023529,0.719101
0.152,0.026471,0.719101
0.153,0.029412,0.713483
0.154,0.032353,0.713483
0.155,0.032353,0.713483
0.156,0.035294,0.713483
0.157,0.035294,0.707865
0.158,0.035294,0.702247
0.159,0.035294,0.696629
0.16,0.035294,0.696629
0.161,0.035294,0.696629
0.162,0.035294,0.696629
0.163,0.035294,0.696629
0.164,0.035294,0.696629
0.165,0.035294,0.691011
0.166,0.035294,0.691011
0.167,0.035294,0.691011
0.168,0.035294,0.691011
0.169,0.035294,0.691011
0.17,0.035294,0.691011
0.171,0.035294,0.691011
0.172,0.035294,0.685393
0.173,0.038235,0.685393
0.174,0.038235,0.685393
0.175,0.038235,0.674157
0.176,0.038235,0.674157
0.177,0.038235,0.674157
0.178,0.038235,0.674157
0.179,0.038235,0.674157
0.18,0.038235,0.674157
0.181,0.038235,0.674157
0.182,0.038235,0.674157
0.183,0.038235,0.668539
0.184,0.038235,0.668539
0.185,0.038235,0.668539
0.186,0.041176,0.662921
0.187,0.041176,0.662921
0.188,0.041176,0.662921
0.189,0.041176,0.662921
0.19,0.041176,0.662921
0.191,0.041176,0.657303
0.192,0.041176,0.657303
0.193,0.041176,0.657303
0.194,0.044118,0.651685
0.195,0.047059,0.651685
0.196,0.047059,0.651685
0.197,0.047059,0.651685
0.198,0.05,0.651685
0.199,0.05,0.651685
0.2,0.05,0.651685
0.201,0.05,0.640449
0.202,0.05,0.640449
0.203,0.05,0.640449
0.204,0.052941,0.640449
0.205,0.052941,0.640449
0.206,0.058824,0.640449
0.207,0.058824,0.640449
0.208,0.058824,0.634831
0.209,0.058824,0.634831
0.21,0.058824,0.629213
0.211,0.058824,0.623596
0.212,0.058824,0.623596
0.213,0.058824,0.623596
0.214,0.058824,0.623596
0.215,0.058824,0.623596
0.216,0.058824,0.623596
0.217,0.058824,0.623596
0.218,0.058824,0.623596
0.219,0.061765,0.617978
0.22,0.061765,0.617978
0.221,0.064706,0.617978
0.222,0.064706,0.617978
0.223,0.064706,0.617978
0.224,0.064706,0.61236
0.225,0.064706,0.61236
0.226,0.064706,0.601124
0.227,0.064706,0.589888
0.228,0.067647,0.589888
0.229,0.067647,0.589888
0.23,0.067647,0.589888
0.231,0.067647,0.589888
0.232,0.070588,0.589888
0.233,0.070588,0.589888
0.234,0.070588,0.58427
0.235,0.070588,0.58427
0.236,0.070588,0.58427
0.237,0.073529,0.578652
0.238,0.073529,0.578652
0.239,0.073529,0.578652
0.24,0.076471,0.578652
0.241,0.076471,0.578652
0.242,0.079412,0.578652
0.243,0.079412,0.578652
0.244,0.079412,0.573034
0.245,0.082353,0.573034
0.246,0.082353,0.561798
0.247,0.085294,0.561798
0.248,0.088235,0.561798
0.249,0.094118,0.561798
0.25,0.094118,0.561798
0.251,0.094118,0.561798
0.252,0.094118,0.561798
0.253,0.097059,0.561798
0.254,0.097059,0.561798
0.255,0.097059,0.561798
0.256,0.097059,0.561798
0.257,0.097059,0.550562
0.258,0.1,0.550562
0.259,0.102941,0.550562
0.26,0.102941,0.550562
0.261,0.102941,0.539326
0.262,0.105882,0.539326
0.263,0.105882,0.533708
0.264,0.108824,0.533708
0.265,0.108824,0.533708
0.266,0.108824,0.533708
0.267,0.111765,0.533708
0.268,0.111765,0.533708
0.269,0.111765,0.52809
0.27,0.111765,0.52809
0.271,0.111765,0.52809
0.272,0.114706,0.52809
0.273,0.114706,0.52809
0.274,0.114706,0.52809
0.275,0.114706,0.52809
0.276,0.114706,0.52809
0.277,0.114706,0.52809
0.278,0.114706,0.52809
0.279,0.117647,0.52809
0.28,0.117647,0.52809
0.281,0.120588,0.52809
0.282,0.120588,0.522472
0.283,0.120588,0.522472
0.284,0.120588,0.522472
0.285,0.120588,0.516854
0.286,0.120588,0.516854
0.287,0.126471,0.516854
0.288,0.126471,0.511236
0.289,0.129412,0.511236
0.29,0.129412,0.511236
0.291,0.129412,0.511236
0.292,0.129412,0.505618
0.293,0.129412,0.505618
0.294,0.132353,0.505618
0.295,0.132353,0.5
0.296,0.132353,0.494382
0.297,0.132353,0.494382
0.298,0.132353,0.494382
0.299,0.132353,0.494382
0.3,0.132353,0.494382
0.301,0.138235,0.494382
0.302,0.138235,0.494382
0.303,0.138235,0.494382
0.304,0.138235,0.494382
0.305,0.138235,0.488764
0.306,0.138235,0.488764
0.307,0.141176,0.488764
0.308,0.141176,0.488764
0.309,0.141176,0.483146
0.31,0.141176,0.483146
0.311,0.141176,0.483146
0.312,0.144118,0.483146
0.313,0.144118,0.483146
0.314,0.144118,0.477528
0.315,0.144118,0.477528
0.316,0.147059,0.477528
0.317,0.147059,0.477528
0.318,0.147059,0.477528
0.319,0.147059,0.477528
0.32,0.147059,0.477528
0.321,0.147059,0.477528
0.322,0.147059,0.477528
0.323,0.15,0.477528
0.324,0.15,0.477528
0.325,0.15,0.477528
0.326,0.15,0.477528
0.327,0.15,0.477528
0.328,0.155882,0.477528
0.329,0.155882,0.477528
0.33,0.155882,0.47191
0.331,0.155882,0.466292
0.332,0.155882,0.466292
