Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,1.0
0.003,0.0,1.0
0.004,0.0,1.0
0.005,0.0,1.0
0.006,0.0,1.0
0.007,0.0,1.0
0.008,0.0,0.992857
0.009,0.0,0.992857
0.01,0.0,0.985714
0.011,0.0,0.978571
0.012,0.0,0.978571
0.013,0.0,0.978571
0.014,0.0,0.971429
0.015,0.0,0.971429
0.016,0.0,0.971429
0.017,0.0,0.971429
0.018,0.0,0.957143
0.019,0.0,0.957143
0.02,0.0,0.942857
0.021,0.001786,0.942857
0.022,0.001786,0.942857
0.023,0.001786,0.935714
0.024,0.001786,0.928571
0.025,0.001786,0.921429
0.026,0.001786,0.921429
0.027,0.001786,0.921429
0.028,0.001786,0.921429
0.029,0.001786,0.921429
0.03,0.001786,0.921429
0.031,0.001786,0.914286
0.032,0.001786,0.907143
0.033,0.001786,0.907143
0.034,0.001786,0.907143
0.035,0.001786,0.907143
0.036,0.001786,0.9
0.037,0.001786,0.9
0.038,0.001786,0.892857
0.039,0.001786,0.885714
0.04,0.001786,0.871429
0.041,0.001786,0.871429
0.042,0.001786,0.864286
0.043,0.001786,0.864286
0.044,0.001786,0.864286
0.045,0.001786,0.864286
0.046,0.001786,0.857143
0.047,0.001786,0.85
0.048,0.001786,0.85
0.049,0.001786,0.835714
0.05,0.001786,0.828571
0.051,0.003571,0.821429
0.052,0.003571,0.821429
0.053,0.003571,0.821429
0.054,0.003571,0.821429
0.055,0.003571,0.821429
0.056,0.003571,0.821429
0.057,0.003571,0.814286
0.058,0.003571,0.807143
0.059,0.003571,0.807143
0.06,0.003571,0.807143
0.061,0.003571,0.807143
0.062,0.003571,0.8
0.063,0.003571,0.8
0.064,0.003571,0.8
0.065,0.003571,0.8
0.066,0.003571,0.792857
0.067,0.003571,0.792857
0.068,0.003571,0.792857
0.069,0.003571,0.778571
0.07,0.003571,0.778571
0.071,0.003571,0.778571
0.072,0.003571,0.778571
0.073,0.003571,0.778571
0.074,0.003571,0.778571
0.075,0.003571,0.778571
0.076,0.003571,0.778571
0.077,0.003571,0.778571
0.078,0.003571,0.778571
0.079,0.003571,0.778571
0.08,0.003571,0.771429
0.081,0.003571,0.771429
0.082,0.003571,0.771429
0.083,0.003571,0.771429
0.084,0.003571,0.771429
0.085,0.003571,0.771429
0.086,0.003571,0.771429
0.087,0.003571,0.771429
0.088,0.003571,0.771429
0.089,0.003571,0.771429
0.09,0.003571,0.771429
0.091,0.003571,0.771429
0.092,0.003571,0.771429
0.093,0.003571,0.771429
0.094,0.003571,0.764286
0.095,0.003571,0.757143
0.096,0.003571,0.757143
0.097,0.003571,0.757143
0.098,0.003571,0.75
0.099,0.003571,0.75
0.1,0.003571,0.75
0.101,0.003571,0.75
0.102,0.003571,0.75
0.103,0.003571,0.742857
0.104,0.003571,0.742857
0.105,0.003571,0.742857
0.106,0.003571,0.742857
0.107,0.003571,0.742857
0.108,0.003571,0.735714
0.109,0.003571,0.735714
0.11,0.003571,0.728571
0.111,0.003571,0.728571
0.112,0.003571,0.728571
0.113,0.003571,0.721429
0.114,0.003571,0.721429
0.115,0.003571,0.721429
0.116,0.003571,0.721429
0.117,0.003571,0.721429
0.118,0.003571,0.714286
0.119,0.003571,0.707143
0.12,0.003571,0.7
0.121,0.003571,0.7
0.122,0.003571,0.7
0.123,0.003571,0.7
0.124,0.003571,0.7
0.125,0.003571,0.7
0.126,0.003571,0.7
0.127,0.003571,0.7
0.128,0.003571,0.692857
0.129,0.003571,0.685714
0.13,0.003571,0.685714
0.131,0.003571,0.685714
0.132,0.003571,0.685714
0.133,0.003571,0.685714
0.134,0.003571,0.685714
0.135,0.003571,0.685714
0.136,0.003571,0.685714
0.137,0.003571,0.685714
0.138,0.003571,0.678571
0.139,0.003571,0.678571
0.14,0.003571,0.678571
0.141,0.003571,0.678571
0.142,0.003571,0.664286
0.143,0.003571,0.664286
0.144,0.003571,0.664286
0.145,0.003571,0.664286
0.146,0.003571,0.657143
0.147,0.003571,0.657143
0.148,0.003571,0.65
0.149,0.003571,0.65
0.15,0.003571,0.65
0.151,0.003571,0.642857
0.152,0.003571,0.635714
0.153,0.003571,0.628571
0.154,0.003571,0.628571
0.155,0.003571,0.628571
0.156,0.003571,0.628571
0.157,0.003571,0.628571
0.158,0.003571,0.628571
0.159,0.003571,0.628571
0.16,0.003571,0.628571
0.161,0.003571,0.621429
0.162,0.003571,0.614286
0.163,0.003571,0.614286
0.164,0.003571,0.614286
0.165,0.003571,0.614286
0.166,0.003571,0.607143
0.167,0.003571,0.607143
0.168,0.003571,0.6
0.169,0.003571,0.6
0.17,0.003571,0.6
0.171,0.003571,0.585714
0.172,0.003571,0.578571
0.173,0.003571,0.578571
0.174,0.003571,0.578571
0.175,0.003571,0.578571
0.176,0.003571,0.571429
0.177,0.003571,0.571429
0.178,0.003571,0.571429
0.179,0.003571,0.571429
0.18,0.003571,0.571429
0.181,0.003571,0.571429
0.182,0.003571,0.564286
0.183,0.003571,0.564286
0.184,0.003571,0.564286
0.185,0.003571,0.557143
0.186,0.003571,0.557143
0.187,0.003571,0.557143
0.188,0.003571,0.557143
0.189,0.003571,0.557143
0.19,0.003571,0.557143
0.191,0.003571,0.55
0.192,0.003571,0.55
0.193,0.003571,0.55
0.194,0.003571,0.55
0.195,0.003571,0.55
0.196,0.003571,0.542857
0.197,0.003571,0.542857
0.198,0.003571,0.542857
0.199,0.003571,0.542857
0.2,0.003571,0.542857
0.201,0.003571,0.542857
0.202,0.003571,0.542857
0.203,0.003571,0.535714
0.204,0.003571,0.535714
0.205,0.003571,0.521429
0.206,0.003571,0.514286
0.207,0.003571,0.514286
0.208,0.003571,0.514286
0.209,0.003571,0.514286
0.21,0.003571,0.514286
0.211,0.003571,0.514286
0.212,0.003571,0.514286
0.213,0.003571,0.514286
0.214,0.003571,0.514286
0.215,0.003571,0.507143
0.216,0.003571,0.507143
0.217,0.003571,0.5
0.218,0.003571,0.492857
0.219,0.003571,0.492857
0.22,0.003571,0.492857
0.221,0.003571,0.478571
0.222,0.003571,0.478571
0.223,0.003571,0.478571
0.224,0.003571,0.478571
0.225,0.003571,0.471429
0.226,0.003571,0.471429
0.227,0.003571,0.471429
0.228,0.003571,0.471429
0.229,0.003571,0.471429
0.23,0.003571,0.471429
0.231,0.003571,0.471429
0.232,0.003571,0.471429
0.233,0.003571,0.464286
0.234,0.003571,0.464286
0.235,0.003571,0.464286
0.236,0.003571,0.464286
0.237,0.003571,0.464286
0.238,0.003571,0.464286
0.239,0.003571,0.464286
0.24,0.003571,0.464286
0.241,0.003571,0.464286
0.242,0.003571,0.464286
0.243,0.003571,0.464286
0.244,0.003571,0.464286
0.245,0.003571,0.464286
0.246,0.003571,0.464286
0.247,0.003571,0.464286
0.248,0.003571,0.464286
0.249,0.005357,0.464286
0.25,0.005357,0.464286
0.251,0.005357,0.464286
0.252,0.005357,0.464286
0.253,0.005357,0.464286
0.254,0.005357,0.464286
0.255,0.005357,0.464286
0.256,0.005357,0.464286
0.257,0.005357,0.457143
0.258,0.007143,0.457143
0.259,0.007143,0.45
0.26,0.007143,0.45
0.261,0.007143,0.45
0.262,0.007143,0.45
0.263,0.007143,0.45
0.264,0.007143,0.45
0.265,0.007143,0.45
0.266,0.007143,0.45
0.267,0.007143,0.45
0.268,0.007143,0.45
0.269,0.007143,0.45
0.27,0.007143,0.45
0.271,0.007143,0.45
0.272,0.007143,0.45
0.273,0.007143,0.45
0.274,0.007143,0.45
0.275,0.007143,0.45
0.276,0.007143,0.45
0.277,0.007143,0.45
0.278,0.007143,0.45
0.279,0.007143,0.45
0.28,0.007143,0.45
0.281,0.007143,0.45
0.282,0.007143,0.45
0.283,0.007143,0.45
0.284,0.007143,0.45
0.285,0.007143,0.45
0.286,0.007143,0.45
0.287,0.007143,0.442857
0.288,0.007143,0.442857
0.289,0.007143,0.442857
0.29,0.007143,0.442857
0.291,0.007143,0.442857
0.292,0.007143,0.442857
0.293,0.007143,0.442857
0.294,0.007143,0.435714
0.295,0.007143,0.435714
0.296,0.007143,0.435714
0.297,0.007143,0.435714
0.298,0.007143,0.435714
0.299,0.007143,0.435714
0.3,0.007143,0.435714
0.301,0.007143,0.435714
0.302,0.007143,0.435714
0.303,0.007143,0.435714
0.304,0.007143,0.435714
0.305,0.007143,0.435714
0.306,0.007143,0.435714
0.307,0.007143,0.435714
0.308,0.007143,0.435714
0.309,0.007143,0.435714
0.31,0.007143,0.435714
0.311,0.007143,0.435714
0.312,0.007143,0.435714
0.313,0.007143,0.428571
0.314,0.007143,0.428571
0.315,0.007143,0.428571
0.316,0.007143,0.428571
0.317,0.007143,0.428571
0.318,0.007143,0.428571
0.319,0.007143,0.428571
0.32,0.007143,0.428571
0.321,0.007143,0.428571
0.322,0.007143,0.428571
0.323,0.007143,0.428571
0.324,0.007143,0.428571
0.325,0.007143,0.428571
0.326,0.007143,0.428571
0.327,0.007143,0.428571
0.328,0.007143,0.428571
0.329,0.007143,0.428571
0.33,0.007143,0.428571
0.331,0.007143,0.428571
0.332,0.007143,0.421429
0.333,0.007143,0.421429
0.334,0.007143,0.414286
