Threshold,FAR,FRR
0.001,0.0,1.0
0.002,0.0,1.0
0.003,0.0,1.0
0.004,0.0,1.0
0.005,0.0,1.0
0.006,0.0,1.0
0.007,0.0,1.0
0.008,0.0,0.999568
0.009,0.0,0.999568
0.01,0.0,0.999568
0.011,0.0,0.999568
0.012,0.0,0.999568
0.013,0.0,0.999568
0.014,0.0,0.999568
0.015,0.0,0.999568
0.016,0.0,0.999568
0.017,0.0,0.999136
0.018,0.0,0.999136
0.019,0.0,0.998704
0.02,0.0,0.996976
0.021,0.0,0.996112
0.022,0.0,0.996112
0.023,0.0,0.996112
0.024,0.0,0.996112
0.025,0.0,0.996112
0.026,0.0,0.996112
0.027,0.0,0.995248
0.028,0.0,0.995248
0.029,0.0,0.995248
0.03,0.0,0.995248
0.031,0.0,0.994816
0.032,0.0,0.994816
0.033,0.0,0.994384
0.034,0.0,0.994384
0.035,0.0,0.993952
0.036,0.0,0.993952
0.037,0.0,0.992657
0.038,0.0,0.992657
0.039,0.0,0.992657
0.04,0.0,0.991793
0.041,0.000419,0.990065
0.042,0.000419,0.990065
0.043,0.000419,0.990065
0.044,0.000419,0.989201
0.045,0.000419,0.987905
0.046,0.000419,0.987905
0.047,0.000419,0.987905
0.048,0.000419,0.985313
0.049,0.000419,0.983585
0.05,0.000419,0.982289
0.051,0.000419,0.981425
0.052,0.000419,0.98013
0.053,0.000837,0.979698
0.054,0.000837,0.978834
0.055,0.000837,0.978402
0.056,0.000837,0.977538
0.057,0.001256,0.97581
0.058,0.001256,0.975378
0.059,0.001256,0.974082
0.06,0.001256,0.972786
0.061,0.001674,0.971922
0.062,0.001674,0.970626
0.063,0.001674,0.969762
0.064,0.001674,0.968467
0.065,0.001674,0.967603
0.066,0.001674,0.967171
0.067,0.002093,0.966739
0.068,0.002093,0.966307
0.069,0.002512,0.965011
0.07,0.002512,0.963715
0.071,0.002512,0.962851
0.072,0.002512,0.961555
0.073,0.003349,0.960691
0.074,0.003349,0.960259
0.075,0.003349,0.958531
0.076,0.003349,0.958099
0.077,0.003349,0.957235
0.078,0.003349,0.954644
0.079,0.003349,0.953348
0.08,0.003767,0.952916
0.081,0.003767,0.952052
0.082,0.004604,0.951188
0.083,0.004604,0.950756
0.084,0.004604,0.94946
0.085,0.004604,0.948164
0.086,0.004604,0.947732
0.087,0.005023,0.946868
0.088,0.005023,0.94514
0.089,0.005023,0.943844
0.09,0.005023,0.943413
0.091,0.005023,0.942981
0.092,0.005023,0.941685
0.093,0.005023,0.940821
0.094,0.005023,0.939525
0.095,0.005023,0.938661
0.096,0.005023,0.936501
0.097,0.005023,0.935637
0.098,0.005023,0.935205
0.099,0.005023,0.934341
0.1,0.005442,0.933909
0.101,0.006279,0.933045
0.102,0.006279,0.931317
0.103,0.007116,0.930022
0.104,0.007116,0.928726
0.105,0.007116,0.926566
0.106,0.007535,0.92527
0.107,0.007535,0.92527
0.108,0.007535,0.923542
0.109,0.007535,0.922246
0.11,0.007535,0.919654
0.111,0.00879,0.919222
0.112,0.00879,0.918359
0.113,0.00879,0.916199
0.114,0.009209,0.914903
0.115,0.009209,0.912743
0.116,0.009627,0.912743
0.117,0.010046,0.912311
0.118,0.010465,0.911015
0.119,0.010465,0.910151
0.12,0.010465,0.908855
0.121,0.010465,0.907559
0.122,0.010465,0.9054
0.123,0.010465,0.904536
0.124,0.010465,0.904536
0.125,0.010465,0.904104
0.126,0.010465,0.90324
0.127,0.010465,0.901512
0.128,0.010465,0.900216
0.129,0.010465,0.89892
0.13,0.010465,0.897624
0.131,0.010465,0.895896
0.132,0.010883,0.895464
0.133,0.012139,0.893305
0.134,0.012139,0.892009
0.135,0.012139,0.891145
0.136,0.012558,0.890713
0.137,0.013395,0.888553
0.138,0.013813,0.888121
0.139,0.013813,0.887689
0.14,0.013813,0.886825
0.141,0.01465,0.885961
0.142,0.01465,0.884233
0.143,0.015069,0.883369
0.144,0.015488,0.882073
0.145,0.015906,0.881641
0.146,0.016325,0.880778
0.147,0.016743,0.880778
0.148,0.017162,0.879914
0.149,0.017999,0.878618
0.15,0.017999,0.877322
0.151,0.018418,0.87689
0.152,0.018836,0.876026
0.153,0.019674,0.875594
0.154,0.020092,0.875162
0.155,0.020092,0.873434
0.156,0.020511,0.87257
0.157,0.020929,0.872138
0.158,0.020929,0.87041
0.159,0.021348,0.869546
0.16,0.021348,0.868683
0.161,0.021766,0.867819
0.162,0.022185,0.867387
0.163,0.022185,0.866955
0.164,0.022185,0.866091
0.165,0.022604,0.864795
0.166,0.022604,0.863499
0.167,0.023022,0.862635
0.168,0.023022,0.861771
0.169,0.023022,0.861771
0.17,0.023441,0.860475
0.171,0.023859,0.857019
0.172,0.023859,0.856156
0.173,0.024278,0.854428
0.174,0.024697,0.853132
0.175,0.024697,0.850108
0.176,0.025115,0.848812
0.177,0.025952,0.847084
0.178,0.025952,0.84622
0.179,0.026371,0.844924
0.18,0.026371,0.84406
0.181,0.026789,0.842333
0.182,0.027208,0.840605
0.183,0.027627,0.839309
0.184,0.028045,0.838013
0.185,0.028464,0.836717
0.186,0.028464,0.835421
0.187,0.028464,0.832829
0.188,0.028464,0.832397
0.189,0.028464,0.831533
0.19,0.028464,0.831102
0.191,0.029301,0.83067
0.192,0.030557,0.830238
0.193,0.031394,0.828078
0.194,0.031812,0.825486
0.195,0.032231,0.823758
0.196,0.03265,0.821166
0.197,0.033905,0.819438
0.198,0.034743,0.819006
0.199,0.035161,0.817279
0.2,0.035998,0.816415
0.201,0.035998,0.815983
0.202,0.035998,0.815119
0.203,0.036835,0.813823
0.204,0.036835,0.813823
0.205,0.037254,0.811663
0.206,0.037673,0.810799
0.207,0.038091,0.809071
0.208,0.038928,0.808639
0.209,0.039766,0.807343
0.21,0.040184,0.806479
0.211,0.04144,0.803888
0.212,0.042696,0.802592
0.213,0.043533,0.801296
0.214,0.045207,0.799136
0.215,0.045626,0.798704
0.216,0.046044,0.796544
0.217,0.046463,0.795248
0.218,0.046882,0.794384
0.219,0.0473,0.792225
0.22,0.047719,0.791793
0.221,0.048137,0.790929
0.222,0.048556,0.789633
0.223,0.048556,0.788337
0.224,0.048556,0.785745
0.225,0.048556,0.784017
0.226,0.048556,0.782289
0.227,0.049812,0.780562
0.228,0.05023,0.779266
0.229,0.051486,0.778402
0.23,0.051905,0.777538
0.231,0.052323,0.775378
0.232,0.052323,0.774082
0.233,0.052323,0.77365
0.234,0.052323,0.771922
0.235,0.05316,0.77149
0.236,0.055253,0.770626
0.237,0.055672,0.769762
0.238,0.05609,0.768035
0.239,0.05609,0.766739
0.24,0.05609,0.765011
0.241,0.05609,0.763715
0.242,0.056928,0.760691
0.243,0.056928,0.758531
0.244,0.056928,0.757235
0.245,0.057346,0.756371
0.246,0.057346,0.755508
0.247,0.057346,0.752916
0.248,0.058602,0.752052
0.249,0.058602,0.749892
0.25,0.058602,0.748596
0.251,0.059439,0.746004
0.252,0.059858,0.743413
0.253,0.059858,0.742549
0.254,0.060276,0.741685
0.255,0.060695,0.739957
0.256,0.060695,0.737797
0.257,0.060695,0.736501
0.258,0.061113,0.735637
0.259,0.062369,0.734341
0.26,0.063206,0.732613
0.261,0.063625,0.731317
0.262,0.064044,0.728726
0.263,0.065299,0.726998
0.264,0.065718,0.723974
0.265,0.066136,0.722246
0.266,0.067392,0.717927
0.267,0.067811,0.715767
0.268,0.069067,0.713607
0.269,0.070322,0.711447
0.27,0.070741,0.711015
0.271,0.072415,0.709287
0.272,0.072834,0.707991
0.273,0.073252,0.705832
0.274,0.073252,0.704536
0.275,0.073671,0.702808
0.276,0.075345,0.702376
0.277,0.077857,0.70108
0.278,0.078275,0.699784
0.279,0.078275,0.699352
0.28,0.078694,0.696328
0.281,0.079113,0.695032
0.282,0.079113,0.694168
0.283,0.079531,0.692441
0.284,0.082043,0.691577
0.285,0.083298,0.689849
0.286,0.084136,0.687689
0.287,0.084973,0.686393
0.288,0.08581,0.685961
0.289,0.086647,0.685097
0.29,0.086647,0.682937
0.291,0.087484,0.680778
0.292,0.087484,0.67905
0.293,0.088321,0.676458
0.294,0.089159,0.675162
0.295,0.091252,0.67473
0.296,0.091252,0.673002
0.297,0.092926,0.67041
0.298,0.093763,0.669114
0.299,0.0946,0.667819
0.3,0.0946,0.665227
0.301,0.095437,0.665227
0.302,0.096275,0.663067
0.303,0.096693,0.660907
0.304,0.09753,0.660043
0.305,0.098786,0.658315
0.306,0.099623,0.657019
0.307,0.100879,0.655292
0.308,0.102135,0.65486
0.309,0.102553,0.653564
0.31,0.102972,0.6527
0.311,0.103391,0.652268
0.312,0.104646,0.649676
0.313,0.105902,0.647516
0.314,0.107158,0.646652
0.315,0.107995,0.644492
0.316,0.108832,0.642765
0.317,0.109251,0.641901
0.318,0.110506,0.639741
0.319,0.110925,0.636717
0.32,0.111762,0.634557
0.321,0.113018,0.631965
0.322,0.113018,0.63067
0.323,0.114274,0.629374
0.324,0.11553,0.628078
0.325,0.116785,0.627214
0.326,0.117204,0.625054
0.327,0.118878,0.622894
0.328,0.119715,0.620734
0.329,0.120553,0.61987
0.33,0.120971,0.618143
0.331,0.122645,0.617279
